step,t,gfr_proxy,FGF23,PTH,serum_phos_proxy,psi,constraint_state
395,19.75,1.0,2.978,500.213,1.391,261.5516,P-EXCESS
396,19.8,1.0,2.978,504.135,1.391,262.5601,P-EXCESS
397,19.85,1.0,2.979,508.072,1.391,263.5676,P-EXCESS
398,19.9,1.0,2.979,512.024,1.391,264.5743,P-EXCESS
399,19.95,1.0,2.979,515.991,1.392,265.58,P-EXCESS
400,20.0,0.9,2.979,519.973,1.392,266.5847,P-EXCESS
401,20.05,0.9,2.979,523.971,1.392,267.5885,P-EXCESS
402,20.1,0.9,2.979,527.983,1.392,268.5914,P-EXCESS
403,20.15,0.9,2.979,532.01,1.392,269.5934,P-EXCESS
404,20.2,0.9,2.98,536.053,1.392,270.5944,P-EXCESS
405,20.25,0.9,2.98,540.11,1.392,271.5945,P-EXCESS
406,20.3,0.9,2.98,544.183,1.392,272.5937,P-EXCESS
407,20.35,0.9,2.98,548.27,1.392,273.592,P-EXCESS
408,20.4,0.9,2.98,552.372,1.392,274.5894,P-EXCESS
409,20.45,0.9,2.98,556.49,1.392,275.5856,P-EXCESS
410,20.5,0.9,2.98,560.622,1.392,276.5765,P-EXCESS
411,20.55,0.9,2.981,564.769,1.392,277.5619,P-EXCESS
412,20.6,0.9,2.981,568.93,1.392,278.5421,P-EXCESS
413,20.65,0.9,2.981,573.107,1.392,279.5172,P-EXCESS
414,20.7,0.9,2.981,577.298,1.392,280.4871,P-EXCESS
415,20.75,0.8,2.981,581.503,1.392,281.4521,P-EXCESS
416,20.8,0.8,2.981,585.722,1.393,282.4122,P-EXCESS
417,20.85,0.8,2.981,589.956,1.393,283.3675,P-EXCESS
418,20.9,0.8,2.982,594.205,1.393,284.318,P-EXCESS
419,20.95,0.8,2.982,598.467,1.393,285.2639,P-EXCESS
420,21.0,0.8,2.982,602.744,1.393,286.2053,P-EXCESS
421,21.05,0.8,2.982,607.034,1.393,287.1421,P-EXCESS
422,21.1,0.8,2.982,611.339,1.393,288.0746,P-EXCESS
423,21.15,0.8,2.982,615.658,1.393,289.0027,P-EXCESS
424,21.2,0.8,2.982,619.99,1.393,289.9266,P-EXCESS
425,21.25,0.8,2.982,624.336,1.393,290.8463,P-EXCESS
426,21.3,0.8,2.982,628.696,1.393,291.7619,P-EXCESS
427,21.35,0.8,2.983,633.07,1.393,292.6734,P-EXCESS
428,21.4,0.8,2.983,637.457,1.393,293.581,P-EXCESS
429,21.45,0.8,2.983,641.858,1.393,294.4846,P-EXCESS
430,21.5,0.8,2.983,646.272,1.393,295.3844,P-EXCESS
431,21.55,0.8,2.983,650.7,1.393,296.2805,P-EXCESS
432,21.6,0.8,2.983,655.141,1.393,297.1728,P-EXCESS
433,21.65,0.8,2.983,659.595,1.393,298.0614,P-EXCESS
434,21.7,0.7,2.983,664.063,1.393,298.9465,P-EXCESS
435,21.75,0.7,2.983,668.544,1.393,299.828,P-EXCESS
436,21.8,0.7,2.984,673.038,1.393,300.706,P-EXCESS
437,21.85,0.7,2.984,677.545,1.393,301.5806,P-EXCESS
438,21.9,0.7,2.984,682.065,1.394,302.4519,P-EXCESS
439,21.95,0.7,2.984,686.599,1.394,303.3198,P-EXCESS
440,22.0,0.7,2.984,691.145,1.394,304.1845,P-EXCESS
441,22.05,0.7,2.984,695.704,1.394,305.0459,P-EXCESS
442,22.1,0.7,2.984,700.276,1.394,305.9042,P-EXCESS
443,22.15,0.7,2.984,704.861,1.394,306.7593,P-EXCESS
444,22.2,0.7,2.984,709.459,1.394,307.6114,P-EXCESS
445,22.25,0.7,2.984,714.069,1.394,308.4605,P-EXCESS
446,22.3,0.7,2.985,718.692,1.394,309.3066,P-EXCESS
447,22.35,0.7,2.985,723.328,1.394,310.1498,P-EXCESS
448,22.4,0.7,2.985,727.976,1.394,310.9901,P-EXCESS
449,22.45,0.7,2.985,732.637,1.394,311.8276,P-EXCESS
450,22.5,0.7,2.985,737.311,1.394,312.6622,P-EXCESS
451,22.55,0.7,2.985,741.997,1.394,313.4941,P-EXCESS
452,22.6,0.7,2.985,746.695,1.394,314.3233,P-EXCESS
453,22.65,0.7,2.985,751.406,1.394,315.1498,P-EXCESS
454,22.7,0.7,2.985,756.129,1.394,315.9737,P-EXCESS
455,22.75,0.7,2.985,760.864,1.394,316.795,P-EXCESS
456,22.8,0.7,2.985,765.612,1.394,317.6137,P-EXCESS
457,22.85,0.6,2.986,770.372,1.394,318.4299,P-EXCESS
458,22.9,0.6,2.986,775.144,1.394,319.2436,P-EXCESS
459,22.95,0.6,2.986,779.928,1.394,320.0548,P-EXCESS
460,23.0,0.6,2.986,784.725,1.394,320.8637,P-EXCESS
461,23.05,0.6,2.986,789.533,1.394,321.6701,P-EXCESS
462,23.1,0.6,2.986,794.354,1.394,322.4742,P-EXCESS
463,23.15,0.6,2.986,799.187,1.394,323.276,P-EXCESS
464,23.2,0.6,2.986,804.031,1.394,324.0755,P-EXCESS
465,23.25,0.6,2.986,808.888,1.394,324.8728,P-EXCESS
466,23.3,0.6,2.986,813.756,1.395,325.6678,P-EXCESS
467,23.35,0.6,2.986,818.637,1.395,326.4606,P-EXCESS
468,23.4,0.6,2.986,823.529,1.395,327.2513,P-EXCESS
469,23.45,0.6,2.987,828.433,1.395,328.0398,P-EXCESS
470,23.5,0.6,2.987,833.349,1.395,328.8263,P-EXCESS
471,23.55,0.6,2.987,838.277,1.395,329.6106,P-EXCESS
472,23.6,0.6,2.987,843.216,1.395,330.3929,P-EXCESS
473,23.65,0.6,2.987,848.167,1.395,331.1732,P-EXCESS
474,23.7,0.6,2.987,853.13,1.395,331.9515,P-EXCESS
475,23.75,0.6,2.987,858.104,1.395,332.7278,P-EXCESS
476,23.8,0.6,2.987,863.09,1.395,333.5022,P-EXCESS
477,23.85,0.6,2.987,868.088,1.395,334.2747,P-EXCESS
478,23.9,0.6,2.987,873.097,1.395,335.0452,P-EXCESS
479,23.95,0.6,2.987,878.118,1.395,335.8139,P-EXCESS
480,24.0,0.6,2.987,883.15,1.395,336.5808,P-EXCESS
481,24.05,0.6,2.987,888.194,1.395,337.3458,P-EXCESS
482,24.1,0.6,2.987,893.249,1.395,338.109,P-EXCESS
483,24.15,0.6,2.988,898.316,1.395,338.8705,P-EXCESS
484,24.2,0.6,2.988,903.393,1.395,339.6301,P-EXCESS
485,24.25,0.6,2.988,908.483,1.395,340.3881,P-EXCESS
486,24.3,0.6,2.988,913.583,1.395,341.1443,P-EXCESS
487,24.35,0.5,2.988,918.695,1.395,341.8989,P-EXCESS
488,24.4,0.5,2.988,923.819,1.395,342.6518,P-EXCESS
489,24.45,0.5,2.988,928.953,1.395,343.403,P-EXCESS
490,24.5,0.5,2.988,934.099,1.395,344.1526,P-EXCESS
491,24.55,0.5,2.988,939.256,1.395,344.9005,P-EXCESS
492,24.6,0.5,2.988,944.424,1.395,345.6469,P-EXCESS
493,24.65,0.5,2.988,949.604,1.395,346.3917,P-EXCESS
494,24.7,0.5,2.988,954.794,1.395,347.135,P-EXCESS
495,24.75,0.5,2.988,959.996,1.395,347.8767,P-EXCESS
496,24.8,0.5,2.988,965.209,1.395,348.6169,P-EXCESS
497,24.85,0.5,2.988,970.432,1.395,349.3556,P-EXCESS
498,24.9,0.5,2.988,975.667,1.395,350.0928,P-EXCESS
499,24.95,0.5,2.989,980.913,1.395,350.8285,P-EXCESS
500,25.0,0.5,2.989,986.17,1.395,351.5628,P-EXCESS
501,25.05,0.5,2.989,991.438,1.395,352.2956,P-EXCESS
502,25.1,0.5,2.989,996.717,1.395,353.0271,P-EXCESS
503,25.15,0.5,2.989,1002.007,1.395,353.7571,P-EXCESS
504,25.2,0.5,2.989,1007.308,1.396,354.4857,P-EXCESS
505,25.25,0.5,2.989,1012.619,1.396,355.213,P-EXCESS
506,25.3,0.5,2.989,1017.942,1.396,355.9389,P-EXCESS
507,25.35,0.5,2.989,1023.275,1.396,356.6634,P-EXCESS
508,25.4,0.5,2.989,1028.62,1.396,357.3866,P-EXCESS
509,25.45,0.5,2.989,1033.975,1.396,358.1086,P-EXCESS
510,25.5,0.5,2.989,1039.341,1.396,358.8292,P-EXCESS
511,25.55,0.5,2.989,1044.717,1.396,359.5485,P-EXCESS
512,25.6,0.5,2.989,1050.105,1.396,360.2665,P-EXCESS
513,25.65,0.5,2.989,1055.503,1.396,360.9833,P-EXCESS
514,25.7,0.5,2.989,1060.912,1.396,361.6989,P-EXCESS
515,25.75,0.5,2.989,1066.332,1.396,362.4132,P-EXCESS
516,25.8,0.5,2.989,1071.762,1.396,363.1263,P-EXCESS
517,25.85,0.5,2.989,1077.203,1.396,363.8382,P-EXCESS
518,25.9,0.5,2.99,1082.655,1.396,364.5488,P-EXCESS
519,25.95,0.5,2.99,1088.117,1.396,365.2583,P-EXCESS
520,26.0,0.5,2.99,1093.59,1.396,365.9667,P-EXCESS
521,26.05,0.5,2.99,1099.074,1.396,366.6738,P-EXCESS
522,26.1,0.5,2.99,1104.568,1.396,367.3799,P-EXCESS
523,26.15,0.5,2.99,1110.073,1.396,368.0847,P-EXCESS
524,26.2,0.5,2.99,1115.588,1.396,368.7885,P-EXCESS
525,26.25,0.5,2.99,1121.114,1.396,369.4911,P-EXCESS
526,26.3,0.5,2.99,1126.651,1.396,370.1927,P-EXCESS
527,26.35,0.5,2.99,1132.198,1.396,370.8931,P-EXCESS
528,26.4,0.5,2.99,1137.755,1.396,371.5925,P-EXCESS
529,26.45,0.4,2.99,1143.323,1.396,372.2908,P-EXCESS
530,26.5,0.4,2.99,1148.901,1.396,372.988,P-EXCESS
531,26.55,0.4,2.99,1154.49,1.396,373.6842,P-EXCESS
532,26.6,0.4,2.99,1160.089,1.396,374.3794,P-EXCESS
533,26.65,0.4,2.99,1165.699,1.396,375.0735,P-EXCESS
534,26.7,0.4,2.99,1171.319,1.396,375.7666,P-EXCESS
535,26.75,0.4,2.99,1176.949,1.396,376.4586,P-EXCESS
536,26.8,0.4,2.99,1182.59,1.396,377.1497,P-EXCESS
537,26.85,0.4,2.99,1188.241,1.396,377.8398,P-EXCESS
538,26.9,0.4,2.99,1193.902,1.396,378.5289,P-EXCESS
539,26.95,0.4,2.99,1199.574,1.396,379.217,P-EXCESS
540,27.0,0.4,2.991,1205.256,1.396,379.9042,P-EXCESS
541,27.05,0.4,2.991,1210.948,1.396,380.5904,P-EXCESS
542,27.1,0.4,2.991,1216.651,1.396,381.2756,P-EXCESS
543,27.15,0.4,2.991,1222.364,1.396,381.9599,P-EXCESS
544,27.2,0.4,2.991,1228.087,1.396,382.6433,P-EXCESS
545,27.25,0.4,2.991,1233.821,1.396,383.3258,P-EXCESS
546,27.3,0.4,2.991,1239.564,1.396,384.0073,P-EXCESS
547,27.35,0.4,2.991,1245.318,1.396,384.6879,P-EXCESS
548,27.4,0.4,2.991,1251.082,1.396,385.3677,P-EXCESS
549,27.45,0.4,2.991,1256.856,1.396,386.0465,P-EXCESS
550,27.5,0.4,2.991,1262.641,1.396,386.7245,P-EXCESS
551,27.55,0.4,2.991,1268.435,1.396,387.4015,P-EXCESS
552,27.6,0.4,2.991,1274.24,1.396,388.0777,P-EXCESS
553,27.65,0.4,2.991,1280.055,1.396,388.7531,P-EXCESS
554,27.7,0.4,2.991,1285.879,1.396,389.4276,P-EXCESS
555,27.75,0.4,2.991,1291.714,1.396,390.1013,P-EXCESS
556,27.8,0.4,2.991,1297.56,1.396,390.7741,P-EXCESS
557,27.85,0.4,2.991,1303.415,1.396,391.446,P-EXCESS
558,27.9,0.4,2.991,1309.28,1.396,392.1172,P-EXCESS
559,27.95,0.4,2.991,1315.155,1.397,392.7875,P-EXCESS
560,28.0,0.4,2.991,1321.041,1.397,393.4571,P-EXCESS
561,28.05,0.4,2.991,1326.936,1.397,394.1258,P-EXCESS
562,28.1,0.4,2.991,1332.841,1.397,394.7937,P-EXCESS
563,28.15,0.4,2.991,1338.757,1.397,395.4608,P-EXCESS
564,28.2,0.4,2.991,1344.682,1.397,396.1272,P-EXCESS
565,28.25,0.4,2.991,1350.618,1.397,396.7927,P-EXCESS
566,28.3,0.4,2.992,1356.563,1.397,397.4575,P-EXCESS
567,28.35,0.4,2.992,1362.518,1.397,398.1215,P-EXCESS
568,28.4,0.4,2.992,1368.484,1.397,398.7848,P-EXCESS
569,28.45,0.4,2.992,1374.459,1.397,399.4473,P-EXCESS
570,28.5,0.4,2.992,1380.444,1.397,400.1091,P-EXCESS
571,28.55,0.4,2.992,1386.439,1.397,400.7701,P-EXCESS
572,28.6,0.4,2.992,1392.444,1.397,401.4304,P-EXCESS
573,28.65,0.4,2.992,1398.459,1.397,402.0899,P-EXCESS
574,28.7,0.4,2.992,1404.484,1.397,402.7487,P-EXCESS
575,28.75,0.4,2.992,1410.518,1.397,403.4068,P-EXCESS
576,28.8,0.4,2.992,1416.563,1.397,404.0642,P-EXCESS
577,28.85,0.4,2.992,1422.617,1.397,404.7209,P-EXCESS
578,28.9,0.4,2.992,1428.681,1.397,405.3769,P-EXCESS
579,28.95,0.4,2.992,1434.755,1.397,406.0322,P-EXCESS
580,29.0,0.4,2.992,1440.839,1.397,406.6868,P-EXCESS
581,29.05,0.4,2.992,1446.933,1.397,407.3407,P-EXCESS
582,29.1,0.4,2.992,1453.036,1.397,407.9939,P-EXCESS
583,29.15,0.4,2.992,1459.149,1.397,408.6464,P-EXCESS
584,29.2,0.4,2.992,1465.272,1.397,409.2983,P-EXCESS
585,29.25,0.4,2.992,1471.405,1.397,409.9495,P-EXCESS
586,29.3,0.4,2.992,1477.547,1.397,410.6,P-EXCESS
587,29.35,0.4,2.992,1483.7,1.397,411.2499,P-EXCESS
588,29.4,0.4,2.992,1489.862,1.397,411.8991,P-EXCESS
589,29.45,0.3,2.992,1496.033,1.397,412.5477,P-EXCESS
590,29.5,0.3,2.992,1502.215,1.397,413.1956,P-EXCESS
591,29.55,0.3,2.992,1508.406,1.397,413.8429,P-EXCESS
592,29.6,0.3,2.992,1514.607,1.397,414.4896,P-EXCESS
593,29.65,0.3,2.992,1520.817,1.397,415.1356,P-EXCESS
594,29.7,0.3,2.992,1527.037,1.397,415.781,P-EXCESS
595,29.75,0.3,2.992,1533.267,1.397,416.4258,P-EXCESS
596,29.8,0.3,2.992,1539.507,1.397,417.0699,P-EXCESS
597,29.85,0.3,2.992,1545.756,1.397,417.7135,P-EXCESS
598,29.9,0.3,2.992,1552.015,1.397,418.3564,P-EXCESS
599,29.95,0.3,2.993,1558.283,1.397,418.9988,P-EXCESS
