step,phase,C_renal,psi
192,inter-session,3.5116,2.5345
193,inter-session,3.6147,2.4851
194,inter-session,3.7148,2.4403
195,inter-session,3.8119,2.3995
196,inter-session,3.9061,2.3624
197,inter-session,3.9975,2.3286
198,inter-session,4.0863,2.2977
199,inter-session,4.1724,2.2694
200,inter-session,4.2559,2.2436
201,inter-session,4.337,2.22
202,inter-session,4.4157,2.1984
203,inter-session,4.4921,2.1787
204,inter-session,4.5662,2.1607
205,inter-session,4.6382,2.1442
206,inter-session,4.708,2.1293
207,inter-session,4.7757,2.1156
208,inter-session,4.8414,2.1032
209,inter-session,4.9052,2.092
210,inter-session,4.9672,2.0818
211,inter-session,5.0272,2.0727
212,inter-session,5.0855,2.0645
213,inter-session,5.1421,2.0572
214,inter-session,5.197,2.0508
215,inter-session,5.2503,2.0451
216,inter-session,5.302,2.0402
217,inter-session,5.3522,2.036
218,inter-session,5.4009,2.0325
219,inter-session,5.4482,2.0296
220,inter-session,5.494,2.0273
221,inter-session,5.5385,2.0256
222,inter-session,5.5817,2.0244
223,inter-session,5.6236,2.0238
224,inter-session,5.6643,2.0236
225,inter-session,5.7038,2.0239
226,inter-session,5.7421,2.0247
227,inter-session,5.7793,2.0259
228,inter-session,5.8154,2.0276
229,inter-session,5.8504,2.0296
230,inter-session,5.8843,2.032
231,inter-session,5.9173,2.0348
232,inter-session,5.9493,2.038
233,inter-session,5.9804,2.0415
234,inter-session,6.0105,2.0453
235,inter-session,6.0398,2.0495
236,inter-session,6.0681,2.054
237,inter-session,6.0957,2.0587
238,inter-session,6.1224,2.0638
239,inter-session,6.1483,2.0692
240,inter-session,6.1735,2.0749
241,inter-session,6.1979,2.0808
242,inter-session,6.2216,2.087
243,inter-session,6.2446,2.0934
244,inter-session,6.267,2.1001
245,inter-session,6.2886,2.1071
246,inter-session,6.3097,2.1143
247,inter-session,6.3301,2.1217
248,inter-session,6.3499,2.1294
249,inter-session,6.3691,2.1373
250,inter-session,6.3877,2.1454
251,inter-session,6.4058,2.1538
252,inter-session,6.4234,2.1623
253,inter-session,6.4404,2.1711
254,inter-session,6.457,2.1801
255,inter-session,6.473,2.1893
256,inter-session,6.4886,2.1987
257,inter-session,6.5037,2.2083
258,inter-session,6.5184,2.2181
259,inter-session,6.5326,2.2281
260,inter-session,6.5464,2.2383
261,inter-session,6.5598,2.2487
262,inter-session,6.5728,2.2592
263,inter-session,6.5855,2.27
264,inter-session,6.5977,2.2809
265,inter-session,6.6096,2.2921
266,inter-session,6.6211,2.3034
267,inter-session,6.6323,2.3149
268,inter-session,6.6432,2.3266
269,inter-session,6.6537,2.3385
270,inter-session,6.664,2.3505
271,inter-session,6.6739,2.3627
272,inter-session,6.6835,2.3752
273,inter-session,6.6929,2.3877
274,inter-session,6.702,2.4005
275,inter-session,6.7108,2.4135
276,inter-session,6.7193,2.4266
277,inter-session,6.7276,2.4399
278,inter-session,6.7357,2.4534
279,inter-session,6.7435,2.467
280,inter-session,6.7511,2.4809
281,inter-session,6.7584,2.4949
282,inter-session,6.7656,2.5091
283,inter-session,6.7725,2.5234
284,inter-session,6.7792,2.538
285,inter-session,6.7857,2.5527
286,inter-session,6.7921,2.5676
287,inter-session,6.7982,2.5827
288,inter-session,6.8042,2.598
289,inter-session,6.81,2.6134
290,inter-session,6.8156,2.629
291,inter-session,6.821,2.6449
292,inter-session,6.8263,2.6609
293,inter-session,6.8315,2.677
294,inter-session,6.8364,2.6934
295,inter-session,6.8413,2.71
296,inter-session,6.846,2.7267
297,inter-session,6.8505,2.7436
298,inter-session,6.8549,2.7607
299,inter-session,6.8592,2.7781
300,intra-session,5.0,3.8374
301,intra-session,4.95,3.9105
302,intra-session,4.9,3.9859
303,intra-session,4.85,4.0635
304,intra-session,4.8,4.1436
305,intra-session,4.75,4.2261
306,intra-session,4.7,4.3113
307,intra-session,4.65,4.3993
308,intra-session,4.6,4.49
309,intra-session,4.55,4.5838
310,intra-session,4.5,4.6807
311,intra-session,4.45,4.7808
312,intra-session,4.4,4.8844
313,intra-session,4.35,4.9916
314,intra-session,4.3,5.1025
315,intra-session,4.25,5.2173
316,intra-session,4.2,5.3362
317,intra-session,4.15,5.4595
318,intra-session,4.1,5.5874
319,intra-session,4.05,5.72
320,intra-session,4.0,5.8576
321,intra-session,3.95,6.0005
322,intra-session,3.9,6.149
323,intra-session,3.85,6.3034
324,intra-session,3.8,6.4639
325,intra-session,3.75,6.631
326,intra-session,3.7,6.805
327,intra-session,3.65,6.9862
328,intra-session,3.6,7.1752
329,intra-session,3.55,7.3723
330,intra-session,3.5,7.5781
331,intra-session,3.45,7.793
332,intra-session,3.4,8.0176
333,intra-session,3.35,8.2526
334,intra-session,3.3,8.4985
335,intra-session,3.25,8.7561
336,intra-session,3.2,9.0261
337,intra-session,3.15,9.3095
338,intra-session,3.1,9.6069
339,intra-session,3.05,9.9195
340,intra-session,3.0,10.2483
341,intra-session,2.95,10.5944
342,intra-session,2.9,10.9591
343,intra-session,2.85,11.3437
344,intra-session,2.8,11.7498
345,intra-session,2.75,12.179
346,intra-session,2.7,12.6331
347,intra-session,2.65,13.114
348,intra-session,2.6,13.624
349,intra-session,2.55,14.1654
350,intra-session,2.5,14.7409
351,intra-session,2.45,15.3534
352,intra-session,2.4,16.0062
353,intra-session,2.35,16.703
354,intra-session,2.3,17.4477
355,intra-session,2.25,18.245
356,intra-session,2.2,19.0998
357,intra-session,2.15,20.0179
358,intra-session,2.1,21.0057
359,intra-session,2.05,22.0704
360,inter-session,2.0,23.2203
361,inter-session,2.1478,22.2119
362,inter-session,2.2912,21.3598
363,inter-session,2.4303,20.6335
364,inter-session,2.5654,20.01
365,inter-session,2.6965,19.4718
366,inter-session,2.8236,19.0053
367,inter-session,2.9471,18.5997
368,inter-session,3.0669,18.2463
369,inter-session,3.1831,17.9381
370,inter-session,3.2959,17.6695
371,inter-session,3.4054,17.4356
372,inter-session,3.5116,17.2326
373,inter-session,3.6147,17.0571
