step,phase,C_renal,psi
827,inter-session,6.7982,5798.0812
828,inter-session,6.8042,5822.3733
829,inter-session,6.81,5846.8475
830,inter-session,6.8156,5871.5009
831,inter-session,6.821,5896.3305
832,inter-session,6.8263,5921.3334
833,inter-session,6.8315,5946.5069
834,inter-session,6.8364,5971.8482
835,inter-session,6.8413,5997.3548
836,inter-session,6.846,6023.024
837,inter-session,6.8505,6048.8535
838,inter-session,6.8549,6074.8408
839,inter-session,6.8592,6100.9838
840,intra-session,5.0,8410.7719
841,intra-session,4.95,8537.4191
842,intra-session,4.9,8666.7529
843,intra-session,4.85,8798.8566
844,intra-session,4.8,8933.8166
845,intra-session,4.75,9071.7231
846,intra-session,4.7,9212.6701
847,intra-session,4.65,9356.7558
848,intra-session,4.6,9504.0825
849,intra-session,4.55,9654.7571
850,intra-session,4.5,9808.8911
851,intra-session,4.45,9966.6011
852,intra-session,4.4,10000.0
853,intra-session,4.35,10000.0
854,intra-session,4.3,10000.0
855,intra-session,4.25,10000.0
856,intra-session,4.2,10000.0
857,intra-session,4.15,10000.0
858,intra-session,4.1,10000.0
859,intra-session,4.05,10000.0
860,intra-session,4.0,10000.0
861,intra-session,3.95,10000.0
862,intra-session,3.9,10000.0
863,intra-session,3.85,10000.0
864,intra-session,3.8,10000.0
865,intra-session,3.75,10000.0
866,intra-session,3.7,10000.0
867,intra-session,3.65,10000.0
868,intra-session,3.6,10000.0
869,intra-session,3.55,10000.0
870,intra-session,3.5,10000.0
871,intra-session,3.45,10000.0
872,intra-session,3.4,10000.0
873,intra-session,3.35,10000.0
874,intra-session,3.3,10000.0
875,intra-session,3.25,10000.0
876,intra-session,3.2,10000.0
877,intra-session,3.15,10000.0
878,intra-session,3.1,10000.0
879,intra-session,3.05,10000.0
880,intra-session,3.0,10000.0
881,intra-session,2.95,10000.0
882,intra-session,2.9,10000.0
883,intra-session,2.85,10000.0
884,intra-session,2.8,10000.0
885,intra-session,2.75,10000.0
886,intra-session,2.7,10000.0
887,intra-session,2.65,10000.0
888,intra-session,2.6,10000.0
889,intra-session,2.55,10000.0
890,intra-session,2.5,10000.0
891,intra-session,2.45,10000.0
892,intra-session,2.4,10000.0
893,intra-session,2.35,10000.0
894,intra-session,2.3,10000.0
895,intra-session,2.25,10000.0
896,intra-session,2.2,10000.0
897,intra-session,2.15,10000.0
898,intra-session,2.1,10000.0
899,intra-session,2.05,10000.0
