step,t,phi_cardiac,c_cardiac,c_renal,psi,regime
112,5.6,1.9974,0.5275,0.4594,6089.782,overload
113,5.65,1.9972,0.5277,0.459,6257.9127,overload
114,5.7,1.997,0.5279,0.4587,6428.4363,overload
115,5.75,1.9968,0.5282,0.4583,6601.3574,overload
116,5.8,1.9966,0.5284,0.458,6776.6804,overload
117,5.85,1.9964,0.5286,0.4576,6954.4098,overload
118,5.9,1.9962,0.5289,0.4573,7134.55,overload
119,5.95,1.996,0.5291,0.457,7317.1056,overload
120,6.0,1.9958,0.5293,0.4566,7502.081,overload
121,6.05,1.9956,0.5295,0.4563,7689.4806,overload
122,6.1,1.9954,0.5298,0.4559,7879.3091,overload
123,6.15,1.9952,0.53,0.4556,8071.5708,overload
124,6.2,1.995,0.5302,0.4552,8266.2703,overload
125,6.25,1.9948,0.5305,0.4549,8463.4121,overload
126,6.3,1.9946,0.5307,0.4546,8663.0007,overload
127,6.35,1.9944,0.5309,0.4542,8865.0406,overload
128,6.4,1.9942,0.5312,0.4539,9069.5364,overload
129,6.45,1.994,0.5314,0.4535,9276.4925,overload
130,6.5,1.9938,0.5316,0.4532,9485.9135,overload
131,6.55,1.9936,0.5318,0.4529,9697.804,overload
132,6.6,1.9934,0.5321,0.4525,9912.1685,overload
133,6.65,1.9932,0.5323,0.4522,10000.0,overload
134,6.7,1.993,0.5325,0.4518,10000.0,overload
135,6.75,1.9928,0.5327,0.4515,10000.0,overload
136,6.8,1.9926,0.533,0.4512,10000.0,overload
137,6.85,1.9924,0.5332,0.4508,10000.0,overload
138,6.9,1.9922,0.5334,0.4505,10000.0,overload
139,6.95,1.992,0.5336,0.4501,10000.0,overload
140,7.0,1.9918,0.5339,0.4498,10000.0,overload
141,7.05,1.9916,0.5341,0.4495,10000.0,overload
142,7.1,1.9914,0.5343,0.4491,10000.0,overload
143,7.15,1.9912,0.5345,0.4488,10000.0,overload
144,7.2,1.991,0.5348,0.4485,10000.0,overload
145,7.25,1.9908,0.535,0.4481,10000.0,overload
146,7.3,1.9906,0.5352,0.4478,10000.0,overload
147,7.35,1.9904,0.5354,0.4475,10000.0,overload
148,7.4,1.9902,0.5357,0.4471,10000.0,overload
149,7.45,1.99,0.5359,0.4468,10000.0,overload
150,7.5,1.9898,0.5361,0.4464,10000.0,overload
151,7.55,1.9896,0.5363,0.4461,10000.0,overload
152,7.6,1.9894,0.5365,0.4458,10000.0,overload
153,7.65,1.9892,0.5368,0.4454,10000.0,overload
154,7.7,1.989,0.537,0.4451,10000.0,overload
155,7.75,1.9888,0.5372,0.4448,10000.0,overload
156,7.8,1.9886,0.5374,0.4444,10000.0,overload
157,7.85,1.9884,0.5377,0.4441,10000.0,overload
158,7.9,1.9882,0.5379,0.4438,10000.0,overload
159,7.95,1.988,0.5381,0.4434,10000.0,overload
160,8.0,1.9878,0.5383,0.4431,10000.0,overload
161,8.05,1.9876,0.5385,0.4428,10000.0,overload
162,8.1,1.9874,0.5387,0.4424,10000.0,overload
163,8.15,1.9872,0.539,0.4421,10000.0,overload
164,8.2,1.987,0.5392,0.4418,10000.0,overload
165,8.25,1.9868,0.5394,0.4414,10000.0,overload
166,8.3,1.9866,0.5396,0.4411,10000.0,overload
167,8.35,1.9864,0.5398,0.4408,10000.0,overload
168,8.4,1.9862,0.54,0.4405,10000.0,overload
169,8.45,1.986,0.5403,0.4401,10000.0,overload
170,8.5,1.9858,0.5405,0.4398,10000.0,overload
171,8.55,1.9856,0.5407,0.4395,10000.0,overload
172,8.6,1.9854,0.5409,0.4391,10000.0,overload
173,8.65,1.9852,0.5411,0.4388,10000.0,overload
174,8.7,1.985,0.5413,0.4385,10000.0,overload
175,8.75,1.9848,0.5416,0.4381,10000.0,overload
176,8.8,1.9846,0.5418,0.4378,10000.0,overload
177,8.85,1.9844,0.542,0.4375,10000.0,overload
178,8.9,1.9842,0.5422,0.4372,10000.0,overload
179,8.95,1.984,0.5424,0.4368,10000.0,overload
180,9.0,1.9838,0.5426,0.4365,10000.0,overload
181,9.05,1.9836,0.5428,0.4362,10000.0,overload
182,9.1,1.9834,0.543,0.4359,10000.0,overload
183,9.15,1.9832,0.5433,0.4355,10000.0,overload
184,9.2,1.983,0.5435,0.4352,10000.0,overload
