step,t,phi_cardiac,c_cardiac,c_renal,psi,regime
484,24.2,1.923,0.5937,0.3475,10000.0,overload
485,24.25,1.9228,0.5939,0.3472,10000.0,overload
486,24.3,1.9226,0.594,0.347,10000.0,overload
487,24.35,1.9224,0.5941,0.3467,10000.0,overload
488,24.4,1.9222,0.5942,0.3464,10000.0,overload
489,24.45,1.922,0.5944,0.3462,10000.0,overload
490,24.5,1.9218,0.5945,0.3459,10000.0,overload
491,24.55,1.9216,0.5946,0.3457,10000.0,overload
492,24.6,1.9214,0.5947,0.3454,10000.0,overload
493,24.65,1.9212,0.5949,0.3451,10000.0,overload
494,24.7,1.921,0.595,0.3449,10000.0,overload
495,24.75,1.9208,0.5951,0.3446,10000.0,overload
496,24.8,1.9206,0.5952,0.3444,10000.0,overload
497,24.85,1.9204,0.5954,0.3441,10000.0,overload
498,24.9,1.9202,0.5955,0.3439,10000.0,overload
499,24.95,1.92,0.5956,0.3436,10000.0,overload
