step,t,phi_eff,C,psi,Ms,phase,regime
454,22.7,1.0,2.3991,10000.0,217.7728,recovery,overload
455,22.75,1.0,2.3996,10000.0,218.2728,recovery,overload
456,22.8,1.0,2.4001,10000.0,218.7728,recovery,overload
457,22.85,1.0,2.4006,10000.0,219.2728,recovery,overload
458,22.9,1.0,2.4011,10000.0,219.7728,recovery,overload
459,22.95,1.0,2.4016,10000.0,220.2728,recovery,overload
460,23.0,1.0,2.4021,10000.0,220.7728,recovery,overload
461,23.05,1.0,2.4026,10000.0,221.2728,recovery,overload
462,23.1,1.0,2.4031,10000.0,221.7728,recovery,overload
463,23.15,1.0,2.4035,10000.0,222.2728,recovery,overload
464,23.2,1.0,2.404,10000.0,222.7728,recovery,overload
465,23.25,1.0,2.4045,10000.0,223.2728,recovery,overload
466,23.3,1.0,2.405,10000.0,223.7728,recovery,overload
467,23.35,1.0,2.4055,10000.0,224.2728,recovery,overload
468,23.4,1.0,2.406,10000.0,224.7728,recovery,overload
469,23.45,1.0,2.4065,10000.0,225.2728,recovery,overload
470,23.5,1.0,2.407,10000.0,225.7728,recovery,overload
471,23.55,1.0,2.4075,10000.0,226.2728,recovery,overload
472,23.6,1.0,2.408,10000.0,226.7728,recovery,overload
473,23.65,1.0,2.4085,10000.0,227.2728,recovery,overload
474,23.7,1.0,2.409,10000.0,227.7728,recovery,overload
475,23.75,1.0,2.4095,10000.0,228.2728,recovery,overload
476,23.8,1.0,2.4099,10000.0,228.7728,recovery,overload
477,23.85,1.0,2.4104,10000.0,229.2728,recovery,overload
478,23.9,1.0,2.4109,10000.0,229.7728,recovery,overload
479,23.95,1.0,2.4114,10000.0,230.2728,recovery,overload
480,24.0,1.0,2.4119,10000.0,230.7728,recovery,overload
481,24.05,1.0,2.4124,10000.0,231.2728,recovery,overload
482,24.1,1.0,2.4129,10000.0,231.7728,recovery,overload
483,24.15,1.0,2.4133,10000.0,232.2728,recovery,overload
484,24.2,1.0,2.4138,10000.0,232.7728,recovery,overload
485,24.25,1.0,2.4143,10000.0,233.2728,recovery,overload
486,24.3,1.0,2.4148,10000.0,233.7728,recovery,overload
487,24.35,1.0,2.4153,10000.0,234.2728,recovery,overload
488,24.4,1.0,2.4158,10000.0,234.7728,recovery,overload
489,24.45,1.0,2.4162,10000.0,235.2728,recovery,overload
490,24.5,1.0,2.4167,10000.0,235.7728,recovery,overload
491,24.55,1.0,2.4172,10000.0,236.2728,recovery,overload
492,24.6,1.0,2.4177,10000.0,236.7728,recovery,overload
493,24.65,1.0,2.4181,10000.0,237.2728,recovery,overload
494,24.7,1.0,2.4186,10000.0,237.7728,recovery,overload
495,24.75,1.0,2.4191,10000.0,238.2728,recovery,overload
496,24.8,1.0,2.4196,10000.0,238.7728,recovery,overload
497,24.85,1.0,2.4201,10000.0,239.2728,recovery,overload
498,24.9,1.0,2.4205,10000.0,239.7728,recovery,overload
499,24.95,1.0,2.421,10000.0,240.2728,recovery,overload
500,25.0,1.0,2.4215,10000.0,240.7728,recovery,overload
501,25.05,1.0,2.422,10000.0,241.2728,recovery,overload
502,25.1,1.0,2.4224,10000.0,241.7728,recovery,overload
503,25.15,1.0,2.4229,10000.0,242.2728,recovery,overload
504,25.2,1.0,2.4234,10000.0,242.7728,recovery,overload
505,25.25,1.0,2.4238,10000.0,243.2728,recovery,overload
506,25.3,1.0,2.4243,10000.0,243.7728,recovery,overload
507,25.35,1.0,2.4248,10000.0,244.2728,recovery,overload
508,25.4,1.0,2.4252,10000.0,244.7728,recovery,overload
509,25.45,1.0,2.4257,10000.0,245.2728,recovery,overload
510,25.5,1.0,2.4262,10000.0,245.7728,recovery,overload
511,25.55,1.0,2.4267,10000.0,246.2728,recovery,overload
512,25.6,1.0,2.4271,10000.0,246.7728,recovery,overload
513,25.65,1.0,2.4276,10000.0,247.2728,recovery,overload
514,25.7,1.0,2.428,10000.0,247.7728,recovery,overload
515,25.75,1.0,2.4285,10000.0,248.2728,recovery,overload
516,25.8,1.0,2.429,10000.0,248.7728,recovery,overload
517,25.85,1.0,2.4294,10000.0,249.2728,recovery,overload
518,25.9,1.0,2.4299,10000.0,249.7728,recovery,overload
519,25.95,1.0,2.4304,10000.0,250.2728,recovery,overload
520,26.0,1.0,2.4308,10000.0,250.7728,recovery,overload
521,26.05,1.0,2.4313,10000.0,251.2728,recovery,overload
522,26.1,1.0,2.4318,10000.0,251.7728,recovery,overload
523,26.15,1.0,2.4322,10000.0,252.2728,recovery,overload
524,26.2,1.0,2.4327,10000.0,252.7728,recovery,overload
525,26.25,1.0,2.4331,10000.0,253.2728,recovery,overload
526,26.3,1.0,2.4336,10000.0,253.7728,recovery,overload
527,26.35,1.0,2.434,10000.0,254.2728,recovery,overload
528,26.4,1.0,2.4345,10000.0,254.7728,recovery,overload
529,26.45,1.0,2.435,10000.0,255.2728,recovery,overload
530,26.5,1.0,2.4354,10000.0,255.7728,recovery,overload
531,26.55,1.0,2.4359,10000.0,256.2728,recovery,overload
532,26.6,1.0,2.4363,10000.0,256.7728,recovery,overload
533,26.65,1.0,2.4368,10000.0,257.2728,recovery,overload
534,26.7,1.0,2.4372,10000.0,257.7728,recovery,overload
535,26.75,1.0,2.4377,10000.0,258.2728,recovery,overload
536,26.8,1.0,2.4381,10000.0,258.7728,recovery,overload
537,26.85,1.0,2.4386,10000.0,259.2728,recovery,overload
538,26.9,1.0,2.439,10000.0,259.7728,recovery,overload
539,26.95,1.0,2.4395,10000.0,260.2728,recovery,overload
540,27.0,1.0,2.44,10000.0,260.7728,recovery,overload
541,27.05,1.0,2.4404,10000.0,261.2728,recovery,overload
542,27.1,1.0,2.4409,10000.0,261.7728,recovery,overload
543,27.15,1.0,2.4413,10000.0,262.2728,recovery,overload
544,27.2,1.0,2.4417,10000.0,262.7728,recovery,overload
545,27.25,1.0,2.4422,10000.0,263.2728,recovery,overload
546,27.3,1.0,2.4426,10000.0,263.7728,recovery,overload
547,27.35,1.0,2.4431,10000.0,264.2728,recovery,overload
548,27.4,1.0,2.4435,10000.0,264.7728,recovery,overload
549,27.45,1.0,2.444,10000.0,265.2728,recovery,overload
550,27.5,1.0,2.4444,10000.0,265.7728,recovery,overload
551,27.55,1.0,2.4449,10000.0,266.2728,recovery,overload
552,27.6,1.0,2.4453,10000.0,266.7728,recovery,overload
553,27.65,1.0,2.4458,10000.0,267.2728,recovery,overload
554,27.7,1.0,2.4462,10000.0,267.7728,recovery,overload
555,27.75,1.0,2.4466,10000.0,268.2728,recovery,overload
556,27.8,1.0,2.4471,10000.0,268.7728,recovery,overload
557,27.85,1.0,2.4475,10000.0,269.2728,recovery,overload
558,27.9,1.0,2.448,10000.0,269.7728,recovery,overload
559,27.95,1.0,2.4484,10000.0,270.2728,recovery,overload
560,28.0,1.0,2.4488,10000.0,270.7728,recovery,overload
561,28.05,1.0,2.4493,10000.0,271.2728,recovery,overload
562,28.1,1.0,2.4497,10000.0,271.7728,recovery,overload
563,28.15,1.0,2.4502,10000.0,272.2728,recovery,overload
564,28.2,1.0,2.4506,10000.0,272.7728,recovery,overload
565,28.25,1.0,2.451,10000.0,273.2728,recovery,overload
566,28.3,1.0,2.4515,10000.0,273.7728,recovery,overload
567,28.35,1.0,2.4519,10000.0,274.2728,recovery,overload
568,28.4,1.0,2.4523,10000.0,274.7728,recovery,overload
569,28.45,1.0,2.4528,10000.0,275.2728,recovery,overload
570,28.5,1.0,2.4532,10000.0,275.7728,recovery,overload
571,28.55,1.0,2.4536,10000.0,276.2728,recovery,overload
572,28.6,1.0,2.4541,10000.0,276.7728,recovery,overload
573,28.65,1.0,2.4545,10000.0,277.2728,recovery,overload
574,28.7,1.0,2.4549,10000.0,277.7728,recovery,overload
575,28.75,1.0,2.4554,10000.0,278.2728,recovery,overload
576,28.8,1.0,2.4558,10000.0,278.7728,recovery,overload
577,28.85,1.0,2.4562,10000.0,279.2728,recovery,overload
578,28.9,1.0,2.4567,10000.0,279.7728,recovery,overload
579,28.95,1.0,2.4571,10000.0,280.2728,recovery,overload
580,29.0,1.0,2.4575,10000.0,280.7728,recovery,overload
581,29.05,1.0,2.4579,10000.0,281.2728,recovery,overload
582,29.1,1.0,2.4584,10000.0,281.7728,recovery,overload
583,29.15,1.0,2.4588,10000.0,282.2728,recovery,overload
584,29.2,1.0,2.4592,10000.0,282.7728,recovery,overload
585,29.25,1.0,2.4597,10000.0,283.2728,recovery,overload
586,29.3,1.0,2.4601,10000.0,283.7728,recovery,overload
587,29.35,1.0,2.4605,10000.0,284.2728,recovery,overload
588,29.4,1.0,2.4609,10000.0,284.7728,recovery,overload
589,29.45,1.0,2.4614,10000.0,285.2728,recovery,overload
590,29.5,1.0,2.4618,10000.0,285.7728,recovery,overload
591,29.55,1.0,2.4622,10000.0,286.2728,recovery,overload
592,29.6,1.0,2.4626,10000.0,286.7728,recovery,overload
593,29.65,1.0,2.463,10000.0,287.2728,recovery,overload
594,29.7,1.0,2.4635,10000.0,287.7728,recovery,overload
595,29.75,1.0,2.4639,10000.0,288.2728,recovery,overload
596,29.8,1.0,2.4643,10000.0,288.7728,recovery,overload
597,29.85,1.0,2.4647,10000.0,289.2728,recovery,overload
598,29.9,1.0,2.4651,10000.0,289.7728,recovery,overload
599,29.95,1.0,2.4656,10000.0,290.2728,recovery,overload
600,30.0,1.0,2.466,10000.0,290.7728,recovery,overload
601,30.05,1.0,2.4664,10000.0,291.2728,recovery,overload
602,30.1,1.0,2.4668,10000.0,291.7728,recovery,overload
603,30.15,1.0,2.4672,10000.0,292.2728,recovery,overload
604,30.2,1.0,2.4676,10000.0,292.7728,recovery,overload
605,30.25,1.0,2.4681,10000.0,293.2728,recovery,overload
606,30.3,1.0,2.4685,10000.0,293.7728,recovery,overload
607,30.35,1.0,2.4689,10000.0,294.2728,recovery,overload
608,30.4,1.0,2.4693,10000.0,294.7728,recovery,overload
609,30.45,1.0,2.4697,10000.0,295.2728,recovery,overload
610,30.5,1.0,2.4701,10000.0,295.7728,recovery,overload
611,30.55,1.0,2.4705,10000.0,296.2728,recovery,overload
612,30.6,1.0,2.471,10000.0,296.7728,recovery,overload
613,30.65,1.0,2.4714,10000.0,297.2728,recovery,overload
614,30.7,1.0,2.4718,10000.0,297.7728,recovery,overload
615,30.75,1.0,2.4722,10000.0,298.2728,recovery,overload
616,30.8,1.0,2.4726,10000.0,298.7728,recovery,overload
617,30.85,1.0,2.473,10000.0,299.2728,recovery,overload
618,30.9,1.0,2.4734,10000.0,299.7728,recovery,overload
619,30.95,1.0,2.4738,10000.0,300.2728,recovery,overload
620,31.0,1.0,2.4742,10000.0,300.7728,recovery,overload
621,31.05,1.0,2.4746,10000.0,301.2728,recovery,overload
622,31.1,1.0,2.475,10000.0,301.7728,recovery,overload
623,31.15,1.0,2.4755,10000.0,302.2728,recovery,overload
624,31.2,1.0,2.4759,10000.0,302.7728,recovery,overload
625,31.25,1.0,2.4763,10000.0,303.2728,recovery,overload
626,31.3,1.0,2.4767,10000.0,303.7728,recovery,overload
627,31.35,1.0,2.4771,10000.0,304.2728,recovery,overload
628,31.4,1.0,2.4775,10000.0,304.7728,recovery,overload
629,31.45,1.0,2.4779,10000.0,305.2728,recovery,overload
630,31.5,1.0,2.4783,10000.0,305.7728,recovery,overload
631,31.55,1.0,2.4787,10000.0,306.2728,recovery,overload
632,31.6,1.0,2.4791,10000.0,306.7728,recovery,overload
633,31.65,1.0,2.4795,10000.0,307.2728,recovery,overload
634,31.7,1.0,2.4799,10000.0,307.7728,recovery,overload
635,31.75,1.0,2.4803,10000.0,308.2728,recovery,overload
636,31.8,1.0,2.4807,10000.0,308.7728,recovery,overload
637,31.85,1.0,2.4811,10000.0,309.2728,recovery,overload
638,31.9,1.0,2.4815,10000.0,309.7728,recovery,overload
639,31.95,1.0,2.4819,10000.0,310.2728,recovery,overload
640,32.0,1.0,2.4823,10000.0,310.7728,recovery,overload
641,32.05,1.0,2.4827,10000.0,311.2728,recovery,overload
642,32.1,1.0,2.4831,10000.0,311.7728,recovery,overload
643,32.15,1.0,2.4835,10000.0,312.2728,recovery,overload
644,32.2,1.0,2.4839,10000.0,312.7728,recovery,overload
645,32.25,1.0,2.4843,10000.0,313.2728,recovery,overload
646,32.3,1.0,2.4847,10000.0,313.7728,recovery,overload
647,32.35,1.0,2.4851,10000.0,314.2728,recovery,overload
648,32.4,1.0,2.4854,10000.0,314.7728,recovery,overload
649,32.45,1.0,2.4858,10000.0,315.2728,recovery,overload
650,32.5,1.0,2.4862,10000.0,315.7728,recovery,overload
651,32.55,1.0,2.4866,10000.0,316.2728,recovery,overload
652,32.6,1.0,2.487,10000.0,316.7728,recovery,overload
653,32.65,1.0,2.4874,10000.0,317.2728,recovery,overload
654,32.7,1.0,2.4878,10000.0,317.7728,recovery,overload
655,32.75,1.0,2.4882,10000.0,318.2728,recovery,overload
656,32.8,1.0,2.4886,10000.0,318.7728,recovery,overload
657,32.85,1.0,2.489,10000.0,319.2728,recovery,overload
658,32.9,1.0,2.4894,10000.0,319.7728,recovery,overload
659,32.95,1.0,2.4897,10000.0,320.2728,recovery,overload
660,33.0,1.0,2.4901,10000.0,320.7728,recovery,overload
661,33.05,1.0,2.4905,10000.0,321.2728,recovery,overload
662,33.1,1.0,2.4909,10000.0,321.7728,recovery,overload
663,33.15,1.0,2.4913,10000.0,322.2728,recovery,overload
664,33.2,1.0,2.4917,10000.0,322.7728,recovery,overload
665,33.25,1.0,2.4921,10000.0,323.2728,recovery,overload
666,33.3,1.0,2.4924,10000.0,323.7728,recovery,overload
667,33.35,1.0,2.4928,10000.0,324.2728,recovery,overload
668,33.4,1.0,2.4932,10000.0,324.7728,recovery,overload
669,33.45,1.0,2.4936,10000.0,325.2728,recovery,overload
670,33.5,1.0,2.494,10000.0,325.7728,recovery,overload
671,33.55,1.0,2.4944,10000.0,326.2728,recovery,overload
672,33.6,1.0,2.4947,10000.0,326.7728,recovery,overload
673,33.65,1.0,2.4951,10000.0,327.2728,recovery,overload
674,33.7,1.0,2.4955,10000.0,327.7728,recovery,overload
675,33.75,1.0,2.4959,10000.0,328.2728,recovery,overload
676,33.8,1.0,2.4963,10000.0,328.7728,recovery,overload
677,33.85,1.0,2.4967,10000.0,329.2728,recovery,overload
678,33.9,1.0,2.497,10000.0,329.7728,recovery,overload
679,33.95,1.0,2.4974,10000.0,330.2728,recovery,overload
680,34.0,1.0,2.4978,10000.0,330.7728,recovery,overload
681,34.05,1.0,2.4982,10000.0,331.2728,recovery,overload
682,34.1,1.0,2.4985,10000.0,331.7728,recovery,overload
683,34.15,1.0,2.4989,10000.0,332.2728,recovery,overload
684,34.2,1.0,2.4993,10000.0,332.7728,recovery,overload
685,34.25,1.0,2.4997,10000.0,333.2728,recovery,overload
686,34.3,1.0,2.5,10000.0,333.7728,recovery,overload
687,34.35,1.0,2.5004,10000.0,334.2728,recovery,overload
688,34.4,1.0,2.5008,10000.0,334.7728,recovery,overload
689,34.45,1.0,2.5012,10000.0,335.2728,recovery,overload
690,34.5,1.0,2.5015,10000.0,335.7728,recovery,overload
691,34.55,1.0,2.5019,10000.0,336.2728,recovery,overload
692,34.6,1.0,2.5023,10000.0,336.7728,recovery,overload
693,34.65,1.0,2.5027,10000.0,337.2728,recovery,overload
694,34.7,1.0,2.503,10000.0,337.7728,recovery,overload
695,34.75,1.0,2.5034,10000.0,338.2728,recovery,overload
696,34.8,1.0,2.5038,10000.0,338.7728,recovery,overload
697,34.85,1.0,2.5041,10000.0,339.2728,recovery,overload
698,34.9,1.0,2.5045,10000.0,339.7728,recovery,overload
699,34.95,1.0,2.5049,10000.0,340.2728,recovery,overload
700,35.0,1.0,2.5053,10000.0,340.7728,recovery,overload
701,35.05,1.0,2.5056,10000.0,341.2728,recovery,overload
702,35.1,1.0,2.506,10000.0,341.7728,recovery,overload
703,35.15,1.0,2.5064,10000.0,342.2728,recovery,overload
704,35.2,1.0,2.5067,10000.0,342.7728,recovery,overload
705,35.25,1.0,2.5071,10000.0,343.2728,recovery,overload
706,35.3,1.0,2.5075,10000.0,343.7728,recovery,overload
707,35.35,1.0,2.5078,10000.0,344.2728,recovery,overload
708,35.4,1.0,2.5082,10000.0,344.7728,recovery,overload
709,35.45,1.0,2.5086,10000.0,345.2728,recovery,overload
710,35.5,1.0,2.5089,10000.0,345.7728,recovery,overload
711,35.55,1.0,2.5093,10000.0,346.2728,recovery,overload
712,35.6,1.0,2.5096,10000.0,346.7728,recovery,overload
713,35.65,1.0,2.51,10000.0,347.2728,recovery,overload
714,35.7,1.0,2.5104,10000.0,347.7728,recovery,overload
715,35.75,1.0,2.5107,10000.0,348.2728,recovery,overload
716,35.8,1.0,2.5111,10000.0,348.7728,recovery,overload
717,35.85,1.0,2.5115,10000.0,349.2728,recovery,overload
718,35.9,1.0,2.5118,10000.0,349.7728,recovery,overload
719,35.95,1.0,2.5122,10000.0,350.2728,recovery,overload
720,36.0,1.0,2.5125,10000.0,350.7728,recovery,overload
721,36.05,1.0,2.5129,10000.0,351.2728,recovery,overload
722,36.1,1.0,2.5133,10000.0,351.7728,recovery,overload
723,36.15,1.0,2.5136,10000.0,352.2728,recovery,overload
724,36.2,1.0,2.514,10000.0,352.7728,recovery,overload
725,36.25,1.0,2.5143,10000.0,353.2728,recovery,overload
726,36.3,1.0,2.5147,10000.0,353.7728,recovery,overload
727,36.35,1.0,2.515,10000.0,354.2728,recovery,overload
728,36.4,1.0,2.5154,10000.0,354.7728,recovery,overload
729,36.45,1.0,2.5158,10000.0,355.2728,recovery,overload
730,36.5,1.0,2.5161,10000.0,355.7728,recovery,overload
731,36.55,1.0,2.5165,10000.0,356.2728,recovery,overload
732,36.6,1.0,2.5168,10000.0,356.7728,recovery,overload
733,36.65,1.0,2.5172,10000.0,357.2728,recovery,overload
734,36.7,1.0,2.5175,10000.0,357.7728,recovery,overload
735,36.75,1.0,2.5179,10000.0,358.2728,recovery,overload
736,36.8,1.0,2.5182,10000.0,358.7728,recovery,overload
737,36.85,1.0,2.5186,10000.0,359.2728,recovery,overload
738,36.9,1.0,2.5189,10000.0,359.7728,recovery,overload
739,36.95,1.0,2.5193,10000.0,360.2728,recovery,overload
740,37.0,1.0,2.5196,10000.0,360.7728,recovery,overload
741,37.05,1.0,2.52,10000.0,361.2728,recovery,overload
742,37.1,1.0,2.5203,10000.0,361.7728,recovery,overload
743,37.15,1.0,2.5207,10000.0,362.2728,recovery,overload
744,37.2,1.0,2.521,10000.0,362.7728,recovery,overload
745,37.25,1.0,2.5214,10000.0,363.2728,recovery,overload
746,37.3,1.0,2.5217,10000.0,363.7728,recovery,overload
747,37.35,1.0,2.5221,10000.0,364.2728,recovery,overload
748,37.4,1.0,2.5224,10000.0,364.7728,recovery,overload
749,37.45,1.0,2.5228,10000.0,365.2728,recovery,overload
750,37.5,1.0,2.5231,10000.0,365.7728,recovery,overload
751,37.55,1.0,2.5235,10000.0,366.2728,recovery,overload
752,37.6,1.0,2.5238,10000.0,366.7728,recovery,overload
753,37.65,1.0,2.5242,10000.0,367.2728,recovery,overload
754,37.7,1.0,2.5245,10000.0,367.7728,recovery,overload
755,37.75,1.0,2.5248,10000.0,368.2728,recovery,overload
756,37.8,1.0,2.5252,10000.0,368.7728,recovery,overload
757,37.85,1.0,2.5255,10000.0,369.2728,recovery,overload
758,37.9,1.0,2.5259,10000.0,369.7728,recovery,overload
759,37.95,1.0,2.5262,10000.0,370.2728,recovery,overload
760,38.0,1.0,2.5266,10000.0,370.7728,recovery,overload
761,38.05,1.0,2.5269,10000.0,371.2728,recovery,overload
762,38.1,1.0,2.5272,10000.0,371.7728,recovery,overload
763,38.15,1.0,2.5276,10000.0,372.2728,recovery,overload
764,38.2,1.0,2.5279,10000.0,372.7728,recovery,overload
765,38.25,1.0,2.5283,10000.0,373.2728,recovery,overload
766,38.3,1.0,2.5286,10000.0,373.7728,recovery,overload
767,38.35,1.0,2.5289,10000.0,374.2728,recovery,overload
768,38.4,1.0,2.5293,10000.0,374.7728,recovery,overload
769,38.45,1.0,2.5296,10000.0,375.2728,recovery,overload
770,38.5,1.0,2.53,10000.0,375.7728,recovery,overload
771,38.55,1.0,2.5303,10000.0,376.2728,recovery,overload
772,38.6,1.0,2.5306,10000.0,376.7728,recovery,overload
773,38.65,1.0,2.531,10000.0,377.2728,recovery,overload
774,38.7,1.0,2.5313,10000.0,377.7728,recovery,overload
775,38.75,1.0,2.5316,10000.0,378.2728,recovery,overload
776,38.8,1.0,2.532,10000.0,378.7728,recovery,overload
777,38.85,1.0,2.5323,10000.0,379.2728,recovery,overload
778,38.9,1.0,2.5327,10000.0,379.7728,recovery,overload
779,38.95,1.0,2.533,10000.0,380.2728,recovery,overload
780,39.0,1.0,2.5333,10000.0,380.7728,recovery,overload
781,39.05,1.0,2.5337,10000.0,381.2728,recovery,overload
782,39.1,1.0,2.534,10000.0,381.7728,recovery,overload
783,39.15,1.0,2.5343,10000.0,382.2728,recovery,overload
784,39.2,1.0,2.5346,10000.0,382.7728,recovery,overload
785,39.25,1.0,2.535,10000.0,383.2728,recovery,overload
786,39.3,1.0,2.5353,10000.0,383.7728,recovery,overload
787,39.35,1.0,2.5356,10000.0,384.2728,recovery,overload
788,39.4,1.0,2.536,10000.0,384.7728,recovery,overload
789,39.45,1.0,2.5363,10000.0,385.2728,recovery,overload
790,39.5,1.0,2.5366,10000.0,385.7728,recovery,overload
791,39.55,1.0,2.537,10000.0,386.2728,recovery,overload
792,39.6,1.0,2.5373,10000.0,386.7728,recovery,overload
793,39.65,1.0,2.5376,10000.0,387.2728,recovery,overload
794,39.7,1.0,2.5379,10000.0,387.7728,recovery,overload
795,39.75,1.0,2.5383,10000.0,388.2728,recovery,overload
796,39.8,1.0,2.5386,10000.0,388.7728,recovery,overload
797,39.85,1.0,2.5389,10000.0,389.2728,recovery,overload
798,39.9,1.0,2.5393,10000.0,389.7728,recovery,overload
799,39.95,1.0,2.5396,10000.0,390.2728,recovery,overload
