step,t,phi_infect,c_immune,c_endo,c_renal,c_cardiac,c_total,psi,Ms,regime
284,14.2,1.289,2.1167,1.4818,0.8684,0.7522,5.219,2216.4987,106.2681,overload
285,14.25,1.2861,2.1187,1.4866,0.8707,0.7539,5.2298,2230.4735,106.7681,overload
286,14.3,1.2833,2.1206,1.4915,0.873,0.7555,5.2407,2244.4579,107.2681,overload
287,14.35,1.2804,2.1225,1.4964,0.8753,0.7572,5.2515,2258.452,107.7681,overload
288,14.4,1.2777,2.1245,1.5013,0.8777,0.7589,5.2623,2272.4559,108.2681,overload
289,14.45,1.2749,2.1264,1.5062,0.88,0.7606,5.2732,2286.4698,108.7681,overload
290,14.5,1.2722,2.1283,1.511,0.8824,0.7623,5.284,2300.4938,109.2681,overload
291,14.55,1.2694,2.1302,1.5159,0.8848,0.764,5.2948,2314.5281,109.7681,overload
292,14.6,1.2668,2.132,1.5208,0.8872,0.7657,5.3057,2328.5729,110.2681,overload
293,14.65,1.2641,2.1339,1.5257,0.8895,0.7674,5.3165,2342.6282,110.7681,overload
294,14.7,1.2615,2.1357,1.5306,0.8919,0.7691,5.3274,2356.6943,111.2681,overload
295,14.75,1.2589,2.1376,1.5354,0.8943,0.7709,5.3382,2370.7712,111.7681,overload
296,14.8,1.2563,2.1394,1.5403,0.8967,0.7726,5.349,2384.8592,112.2681,overload
297,14.85,1.2538,2.1412,1.5452,0.8992,0.7743,5.3599,2398.9582,112.7681,overload
298,14.9,1.2512,2.143,1.5501,0.9016,0.7761,5.3707,2413.0686,113.2681,overload
299,14.95,1.2487,2.1448,1.555,0.904,0.7778,5.3816,2427.1904,113.7681,overload
300,15.0,1.2463,2.1465,1.5599,0.9065,0.7796,5.3924,2441.3237,114.2681,overload
301,15.05,1.2438,2.1483,1.5647,0.9089,0.7813,5.4033,2455.4687,114.7681,overload
302,15.1,1.2414,2.15,1.5696,0.9114,0.7831,5.4141,2469.6256,115.2681,overload
303,15.15,1.239,2.1518,1.5745,0.9138,0.7849,5.425,2483.7943,115.7681,overload
304,15.2,1.2366,2.1535,1.5794,0.9163,0.7867,5.4359,2497.9752,116.2681,overload
305,15.25,1.2342,2.1552,1.5843,0.9188,0.7885,5.4467,2512.1682,116.7681,overload
306,15.3,1.2319,2.1569,1.5892,0.9213,0.7902,5.4576,2526.3735,117.2681,overload
307,15.35,1.2296,2.1586,1.5941,0.9238,0.792,5.4685,2540.5913,117.7681,overload
308,15.4,1.2273,2.1602,1.5989,0.9263,0.7938,5.4793,2554.8217,118.2681,overload
309,15.45,1.2251,2.1619,1.6038,0.9288,0.7957,5.4902,2569.0647,118.7681,overload
310,15.5,1.2228,2.1636,1.6087,0.9313,0.7975,5.5011,2583.3205,119.2681,overload
311,15.55,1.2206,2.1652,1.6136,0.9338,0.7993,5.5119,2597.5892,119.7681,overload
312,15.6,1.2184,2.1668,1.6185,0.9364,0.8011,5.5228,2611.8709,120.2681,overload
313,15.65,1.2162,2.1684,1.6234,0.9389,0.803,5.5337,2626.1657,120.7681,overload
314,15.7,1.2141,2.17,1.6283,0.9415,0.8048,5.5446,2640.4738,121.2681,overload
315,15.75,1.212,2.1716,1.6332,0.944,0.8066,5.5555,2654.7952,121.7681,overload
316,15.8,1.2098,2.1732,1.638,0.9466,0.8085,5.5664,2669.1301,122.2681,overload
317,15.85,1.2078,2.1748,1.6429,0.9492,0.8104,5.5772,2683.4785,122.7681,overload
318,15.9,1.2057,2.1763,1.6478,0.9518,0.8122,5.5881,2697.8405,123.2681,overload
319,15.95,1.2036,2.1779,1.6527,0.9544,0.8141,5.599,2712.2163,123.7681,overload
320,16.0,1.2016,2.1794,1.6576,0.957,0.816,5.6099,2726.6059,124.2681,overload
321,16.05,1.1996,2.181,1.6625,0.9596,0.8178,5.6208,2741.0095,124.7681,overload
322,16.1,1.1976,2.1825,1.6674,0.9622,0.8197,5.6317,2755.4271,125.2681,overload
323,16.15,1.1957,2.184,1.6722,0.9648,0.8216,5.6427,2769.8588,125.7681,overload
324,16.2,1.1937,2.1855,1.6771,0.9674,0.8235,5.6536,2784.3047,126.2681,overload
325,16.25,1.1918,2.187,1.682,0.9701,0.8254,5.6645,2798.7649,126.7681,overload
326,16.3,1.1899,2.1885,1.6869,0.9727,0.8273,5.6754,2813.2395,127.2681,overload
327,16.35,1.188,2.1899,1.6918,0.9754,0.8293,5.6863,2827.7285,127.7681,overload
328,16.4,1.1861,2.1914,1.6967,0.978,0.8312,5.6973,2842.2321,128.2681,overload
329,16.45,1.1843,2.1928,1.7015,0.9807,0.8331,5.7082,2856.7504,128.7681,overload
330,16.5,1.1824,2.1943,1.7064,0.9834,0.835,5.7191,2871.2833,129.2681,overload
331,16.55,1.1806,2.1957,1.7113,0.9861,0.837,5.7301,2885.831,129.7681,overload
332,16.6,1.1788,2.1971,1.7162,0.9888,0.8389,5.741,2900.3935,130.2681,overload
333,16.65,1.177,2.1985,1.7211,0.9915,0.8409,5.7519,2914.971,130.7681,overload
334,16.7,1.1753,2.1999,1.7259,0.9942,0.8428,5.7629,2929.5635,131.2681,overload
335,16.75,1.1735,2.2013,1.7308,0.9969,0.8448,5.7738,2944.171,131.7681,overload
336,16.8,1.1718,2.2027,1.7357,0.9996,0.8468,5.7848,2958.7936,132.2681,overload
337,16.85,1.1701,2.2041,1.7406,1.0023,0.8488,5.7958,2973.4315,132.7681,overload
338,16.9,1.1684,2.2055,1.7454,1.0051,0.8507,5.8067,2988.0846,133.2681,overload
339,16.95,1.1667,2.2068,1.7503,1.0078,0.8527,5.8177,3002.753,133.7681,overload
340,17.0,1.1651,2.2082,1.7552,1.0106,0.8547,5.8287,3017.4368,134.2681,overload
341,17.05,1.1634,2.2095,1.7601,1.0133,0.8567,5.8396,3032.136,134.7681,overload
342,17.1,1.1618,2.2109,1.7649,1.0161,0.8587,5.8506,3046.8507,135.2681,overload
343,17.15,1.1602,2.2122,1.7698,1.0189,0.8607,5.8616,3061.581,135.7681,overload
344,17.2,1.1586,2.2135,1.7747,1.0217,0.8627,5.8726,3076.3269,136.2681,overload
345,17.25,1.157,2.2148,1.7796,1.0245,0.8648,5.8836,3091.0884,136.7681,overload
346,17.3,1.1555,2.2161,1.7844,1.0273,0.8668,5.8946,3105.8655,137.2681,overload
347,17.35,1.1539,2.2174,1.7893,1.0301,0.8688,5.9056,3120.6585,137.7681,overload
348,17.4,1.1524,2.2187,1.7942,1.0329,0.8709,5.9166,3135.4672,138.2681,overload
349,17.45,1.1509,2.22,1.799,1.0357,0.8729,5.9276,3150.2917,138.7681,overload
350,17.5,1.1494,2.2212,1.8039,1.0385,0.875,5.9386,3165.1321,139.2681,overload
351,17.55,1.1479,2.2225,1.8087,1.0414,0.877,5.9496,3179.9885,139.7681,overload
352,17.6,1.1464,2.2237,1.8136,1.0442,0.8791,5.9607,3194.8607,140.2681,overload
353,17.65,1.1449,2.225,1.8185,1.0471,0.8812,5.9717,3209.749,140.7681,overload
354,17.7,1.1435,2.2262,1.8233,1.0499,0.8832,5.9827,3224.6533,141.2681,overload
355,17.75,1.1421,2.2274,1.8282,1.0528,0.8853,5.9938,3239.5736,141.7681,overload
356,17.8,1.1407,2.2287,1.833,1.0557,0.8874,6.0048,3254.51,142.2681,overload
357,17.85,1.1393,2.2299,1.8379,1.0586,0.8895,6.0158,3269.4625,142.7681,overload
358,17.9,1.1379,2.2311,1.8428,1.0615,0.8916,6.0269,3284.4312,143.2681,overload
359,17.95,1.1365,2.2323,1.8476,1.0644,0.8937,6.0379,3299.416,143.7681,overload
360,18.0,1.1351,2.2335,1.8525,1.0673,0.8958,6.049,3314.4171,144.2681,overload
361,18.05,1.1338,2.2347,1.8573,1.0702,0.8979,6.0601,3329.4343,144.7681,overload
362,18.1,1.1325,2.2358,1.8622,1.0731,0.9,6.0711,3344.4678,145.2681,overload
363,18.15,1.1312,2.237,1.867,1.076,0.9022,6.0822,3359.5176,145.7681,overload
364,18.2,1.1298,2.2382,1.8719,1.079,0.9043,6.0933,3374.5836,146.2681,overload
365,18.25,1.1286,2.2393,1.8767,1.0819,0.9064,6.1044,3389.666,146.7681,overload
366,18.3,1.1273,2.2405,1.8816,1.0849,0.9086,6.1155,3404.7646,147.2681,overload
367,18.35,1.126,2.2416,1.8864,1.0878,0.9107,6.1266,3419.8796,147.7681,overload
368,18.4,1.1248,2.2428,1.8912,1.0908,0.9129,6.1377,3435.0109,148.2681,overload
369,18.45,1.1235,2.2439,1.8961,1.0938,0.915,6.1488,3450.1586,148.7681,overload
370,18.5,1.1223,2.245,1.9009,1.0967,0.9172,6.1599,3465.3226,149.2681,overload
371,18.55,1.1211,2.2461,1.9058,1.0997,0.9194,6.171,3480.5031,149.7681,overload
372,18.6,1.1199,2.2472,1.9106,1.1027,0.9215,6.1821,3495.6999,150.2681,overload
373,18.65,1.1187,2.2483,1.9154,1.1057,0.9237,6.1932,3510.913,150.7681,overload
374,18.7,1.1175,2.2494,1.9203,1.1088,0.9259,6.2044,3526.1426,151.2681,overload
375,18.75,1.1163,2.2505,1.9251,1.1118,0.9281,6.2155,3541.3886,151.7681,overload
376,18.8,1.1152,2.2516,1.9299,1.1148,0.9303,6.2266,3556.651,152.2681,overload
377,18.85,1.114,2.2527,1.9348,1.1178,0.9325,6.2378,3571.9298,152.7681,overload
378,18.9,1.1129,2.2538,1.9396,1.1209,0.9347,6.2489,3587.2249,153.2681,overload
379,18.95,1.1118,2.2548,1.9444,1.1239,0.9369,6.2601,3602.5365,153.7681,overload
380,19.0,1.1106,2.2559,1.9492,1.127,0.9392,6.2712,3617.8645,154.2681,overload
381,19.05,1.1095,2.2569,1.954,1.13,0.9414,6.2824,3633.2088,154.7681,overload
382,19.1,1.1085,2.258,1.9589,1.1331,0.9436,6.2936,3648.5696,155.2681,overload
383,19.15,1.1074,2.259,1.9637,1.1362,0.9458,6.3048,3663.9467,155.7681,overload
384,19.2,1.1063,2.2601,1.9685,1.1393,0.9481,6.3159,3679.3402,156.2681,overload
385,19.25,1.1053,2.2611,1.9733,1.1424,0.9503,6.3271,3694.75,156.7681,overload
386,19.3,1.1042,2.2621,1.9781,1.1455,0.9526,6.3383,3710.1762,157.2681,overload
387,19.35,1.1032,2.2632,1.9829,1.1486,0.9549,6.3495,3725.6188,157.7681,overload
388,19.4,1.1021,2.2642,1.9878,1.1517,0.9571,6.3607,3741.0776,158.2681,overload
389,19.45,1.1011,2.2652,1.9926,1.1548,0.9594,6.3719,3756.5528,158.7681,overload
390,19.5,1.1001,2.2662,1.9974,1.1579,0.9617,6.3831,3772.0443,159.2681,overload
391,19.55,1.0991,2.2672,2.0022,1.1611,0.9639,6.3944,3787.552,159.7681,overload
392,19.6,1.0981,2.2682,2.007,1.1642,0.9662,6.4056,3803.076,160.2681,overload
393,19.65,1.0972,2.2692,2.0118,1.1674,0.9685,6.4168,3818.6163,160.7681,overload
394,19.7,1.0962,2.2701,2.0166,1.1705,0.9708,6.428,3834.1728,161.2681,overload
395,19.75,1.0952,2.2711,2.0214,1.1737,0.9731,6.4393,3849.7454,161.7681,overload
396,19.8,1.0943,2.2721,2.0262,1.1769,0.9754,6.4505,3865.3343,162.2681,overload
397,19.85,1.0934,2.273,2.031,1.18,0.9778,6.4618,3880.9393,162.7681,overload
398,19.9,1.0924,2.274,2.0357,1.1832,0.9801,6.473,3896.5605,163.2681,overload
399,19.95,1.0915,2.275,2.0405,1.1864,0.9824,6.4843,3912.1978,163.7681,overload
400,20.0,1.0906,2.2759,2.0453,1.1896,0.9847,6.4956,3927.8512,164.2681,overload
401,20.05,1.0897,2.2769,2.0501,1.1928,0.9871,6.5069,3943.5206,164.7681,overload
402,20.1,1.0888,2.2778,2.0549,1.196,0.9894,6.5181,3959.2061,165.2681,overload
403,20.15,1.0879,2.2787,2.0597,1.1993,0.9918,6.5294,3974.9075,165.7681,overload
404,20.2,1.087,2.2797,2.0645,1.2025,0.9941,6.5407,3990.625,166.2681,overload
405,20.25,1.0862,2.2806,2.0692,1.2057,0.9965,6.552,4006.3584,166.7681,overload
406,20.3,1.0853,2.2815,2.074,1.209,0.9988,6.5633,4022.1077,167.2681,overload
407,20.35,1.0845,2.2824,2.0788,1.2122,1.0012,6.5746,4037.8729,167.7681,overload
408,20.4,1.0836,2.2833,2.0835,1.2155,1.0036,6.5859,4053.6539,168.2681,overload
409,20.45,1.0828,2.2842,2.0883,1.2187,1.006,6.5973,4069.4508,168.7681,overload
410,20.5,1.082,2.2851,2.0931,1.222,1.0083,6.6086,4085.2634,169.2681,overload
411,20.55,1.0812,2.286,2.0978,1.2253,1.0107,6.6199,4101.0918,169.7681,overload
412,20.6,1.0803,2.2869,2.1026,1.2286,1.0131,6.6312,4116.9359,170.2681,overload
413,20.65,1.0795,2.2878,2.1074,1.2319,1.0155,6.6426,4132.7957,170.7681,overload
414,20.7,1.0788,2.2887,2.1121,1.2352,1.0179,6.6539,4148.6711,171.2681,overload
415,20.75,1.078,2.2896,2.1169,1.2385,1.0203,6.6653,4164.5622,171.7681,overload
416,20.8,1.0772,2.2905,2.1216,1.2418,1.0228,6.6767,4180.4687,172.2681,overload
417,20.85,1.0764,2.2913,2.1264,1.2451,1.0252,6.688,4196.3908,172.7681,overload
418,20.9,1.0757,2.2922,2.1311,1.2484,1.0276,6.6994,4212.3284,173.2681,overload
419,20.95,1.0749,2.293,2.1359,1.2518,1.03,6.7108,4228.2814,173.7681,overload
420,21.0,1.0742,2.2939,2.1406,1.2551,1.0325,6.7222,4244.2498,174.2681,overload
421,21.05,1.0734,2.2948,2.1454,1.2585,1.0349,6.7335,4260.2336,174.7681,overload
422,21.1,1.0727,2.2956,2.1501,1.2618,1.0374,6.7449,4276.2326,175.2681,overload
423,21.15,1.072,2.2965,2.1549,1.2652,1.0398,6.7563,4292.247,175.7681,overload
424,21.2,1.0713,2.2973,2.1596,1.2686,1.0423,6.7678,4308.2765,176.2681,overload
425,21.25,1.0706,2.2981,2.1643,1.2719,1.0448,6.7792,4324.3213,176.7681,overload
426,21.3,1.0699,2.299,2.1691,1.2753,1.0472,6.7906,4340.3811,177.2681,overload
427,21.35,1.0692,2.2998,2.1738,1.2787,1.0497,6.802,4356.4561,177.7681,overload
428,21.4,1.0685,2.3006,2.1785,1.2821,1.0522,6.8134,4372.5461,178.2681,overload
429,21.45,1.0678,2.3014,2.1833,1.2855,1.0547,6.8249,4388.651,178.7681,overload
430,21.5,1.0671,2.3022,2.188,1.2889,1.0572,6.8363,4404.7709,179.2681,overload
431,21.55,1.0664,2.3031,2.1927,1.2924,1.0597,6.8478,4420.9057,179.7681,overload
432,21.6,1.0658,2.3039,2.1974,1.2958,1.0622,6.8592,4437.0554,180.2681,overload
433,21.65,1.0651,2.3047,2.2021,1.2992,1.0647,6.8707,4453.2198,180.7681,overload
434,21.7,1.0645,2.3055,2.2068,1.3026,1.0672,6.8821,4469.399,181.2681,overload
435,21.75,1.0638,2.3063,2.2116,1.3061,1.0697,6.8936,4485.5928,181.7681,overload
436,21.8,1.0632,2.3071,2.2163,1.3095,1.0722,6.9051,4501.8013,182.2681,overload
437,21.85,1.0626,2.3079,2.221,1.313,1.0747,6.9166,4518.0244,182.7681,overload
438,21.9,1.062,2.3086,2.2257,1.3165,1.0773,6.9281,4534.262,183.2681,overload
439,21.95,1.0613,2.3094,2.2304,1.3199,1.0798,6.9396,4550.5141,183.7681,overload
440,22.0,1.0607,2.3102,2.2351,1.3234,1.0824,6.9511,4566.7806,184.2681,overload
441,22.05,1.0601,2.311,2.2398,1.3269,1.0849,6.9626,4583.0615,184.7681,overload
442,22.1,1.0595,2.3118,2.2445,1.3304,1.0875,6.9741,4599.3568,185.2681,overload
443,22.15,1.0589,2.3125,2.2492,1.3339,1.09,6.9856,4615.6662,185.7681,overload
444,22.2,1.0583,2.3133,2.2539,1.3374,1.0926,6.9971,4631.9899,186.2681,overload
445,22.25,1.0578,2.314,2.2585,1.3409,1.0951,7.0087,4648.3278,186.7681,overload
446,22.3,1.0572,2.3148,2.2632,1.3444,1.0977,7.0202,4664.6797,187.2681,overload
447,22.35,1.0566,2.3156,2.2679,1.348,1.1003,7.0318,4681.0457,187.7681,overload
448,22.4,1.0561,2.3163,2.2726,1.3515,1.1029,7.0433,4697.4257,188.2681,overload
449,22.45,1.0555,2.3171,2.2773,1.3551,1.1055,7.0549,4713.8196,188.7681,overload
450,22.5,1.0549,2.3178,2.282,1.3586,1.1081,7.0664,4730.2273,189.2681,overload
451,22.55,1.0544,2.3185,2.2866,1.3622,1.1107,7.078,4746.6489,189.7681,overload
452,22.6,1.0539,2.3193,2.2913,1.3657,1.1133,7.0896,4763.0842,190.2681,overload
453,22.65,1.0533,2.32,2.296,1.3693,1.1159,7.1011,4779.5332,190.7681,overload
454,22.7,1.0528,2.3207,2.3006,1.3729,1.1185,7.1127,4795.9959,191.2681,overload
455,22.75,1.0523,2.3215,2.3053,1.3764,1.1211,7.1243,4812.4721,191.7681,overload
456,22.8,1.0517,2.3222,2.31,1.38,1.1237,7.1359,4828.9619,192.2681,overload
457,22.85,1.0512,2.3229,2.3146,1.3836,1.1264,7.1475,4845.4651,192.7681,overload
458,22.9,1.0507,2.3236,2.3193,1.3872,1.129,7.1591,4861.9817,193.2681,overload
459,22.95,1.0502,2.3244,2.3239,1.3908,1.1316,7.1707,4878.5116,193.7681,overload
460,23.0,1.0497,2.3251,2.3286,1.3944,1.1343,7.1824,4895.0549,194.2681,overload
461,23.05,1.0492,2.3258,2.3332,1.3981,1.1369,7.194,4911.6113,194.7681,overload
462,23.1,1.0487,2.3265,2.3379,1.4017,1.1396,7.2056,4928.1809,195.2681,overload
463,23.15,1.0482,2.3272,2.3425,1.4053,1.1422,7.2173,4944.7636,195.7681,overload
464,23.2,1.0478,2.3279,2.3472,1.409,1.1449,7.2289,4961.3593,196.2681,overload
465,23.25,1.0473,2.3286,2.3518,1.4126,1.1476,7.2406,4977.968,196.7681,overload
466,23.3,1.0468,2.3293,2.3564,1.4163,1.1503,7.2522,4994.5896,197.2681,overload
467,23.35,1.0464,2.33,2.3611,1.4199,1.1529,7.2639,5011.224,197.7681,overload
468,23.4,1.0459,2.3307,2.3657,1.4236,1.1556,7.2756,5027.8713,198.2681,overload
469,23.45,1.0454,2.3313,2.3703,1.4273,1.1583,7.2872,5044.5312,198.7681,overload
470,23.5,1.045,2.332,2.375,1.4309,1.161,7.2989,5061.2039,199.2681,overload
471,23.55,1.0445,2.3327,2.3796,1.4346,1.1637,7.3106,5077.8891,199.7681,overload
472,23.6,1.0441,2.3334,2.3842,1.4383,1.1664,7.3223,5094.5868,200.2681,overload
473,23.65,1.0437,2.3341,2.3888,1.442,1.1691,7.334,5111.297,200.7681,overload
474,23.7,1.0432,2.3347,2.3934,1.4457,1.1718,7.3457,5128.0197,201.2681,overload
475,23.75,1.0428,2.3354,2.398,1.4494,1.1745,7.3574,5144.7546,201.7681,overload
476,23.8,1.0424,2.3361,2.4027,1.4532,1.1773,7.3691,5161.5019,202.2681,overload
477,23.85,1.0419,2.3367,2.4073,1.4569,1.18,7.3809,5178.2614,202.7681,overload
478,23.9,1.0415,2.3374,2.4119,1.4606,1.1827,7.3926,5195.033,203.2681,overload
479,23.95,1.0411,2.338,2.4165,1.4643,1.1855,7.4043,5211.8167,203.7681,overload
480,24.0,1.0407,2.3387,2.4211,1.4681,1.1882,7.4161,5228.6124,204.2681,overload
481,24.05,1.0403,2.3394,2.4257,1.4718,1.1909,7.4278,5245.4201,204.7681,overload
482,24.1,1.0399,2.34,2.4303,1.4756,1.1937,7.4396,5262.2397,205.2681,overload
483,24.15,1.0395,2.3407,2.4348,1.4794,1.1965,7.4513,5279.0711,205.7681,overload
484,24.2,1.0391,2.3413,2.4394,1.4831,1.1992,7.4631,5295.9143,206.2681,overload
485,24.25,1.0387,2.3419,2.444,1.4869,1.202,7.4749,5312.7692,206.7681,overload
486,24.3,1.0383,2.3426,2.4486,1.4907,1.2048,7.4866,5329.6358,207.2681,overload
487,24.35,1.038,2.3432,2.4532,1.4945,1.2075,7.4984,5346.5139,207.7681,overload
488,24.4,1.0376,2.3439,2.4578,1.4983,1.2103,7.5102,5363.4035,208.2681,overload
489,24.45,1.0372,2.3445,2.4623,1.5021,1.2131,7.522,5380.3046,208.7681,overload
490,24.5,1.0368,2.3451,2.4669,1.5059,1.2159,7.5338,5397.2171,209.2681,overload
491,24.55,1.0365,2.3457,2.4715,1.5097,1.2187,7.5456,5414.1408,209.7681,overload
492,24.6,1.0361,2.3464,2.4761,1.5135,1.2215,7.5574,5431.0759,210.2681,overload
493,24.65,1.0357,2.347,2.4806,1.5173,1.2243,7.5692,5448.0221,210.7681,overload
494,24.7,1.0354,2.3476,2.4852,1.5212,1.2271,7.5811,5464.9794,211.2681,overload
495,24.75,1.035,2.3482,2.4897,1.525,1.2299,7.5929,5481.9478,211.7681,overload
496,24.8,1.0347,2.3489,2.4943,1.5289,1.2327,7.6047,5498.9272,212.2681,overload
497,24.85,1.0343,2.3495,2.4989,1.5327,1.2356,7.6166,5515.9175,212.7681,overload
498,24.9,1.034,2.3501,2.5034,1.5366,1.2384,7.6284,5532.9187,213.2681,overload
499,24.95,1.0337,2.3507,2.508,1.5404,1.2412,7.6403,5549.9307,213.7681,overload
500,25.0,1.0333,2.3513,2.5125,1.5443,1.2441,7.6521,5566.9534,214.2681,overload
501,25.05,1.033,2.3519,2.517,1.5482,1.2469,7.664,5583.9868,214.7681,overload
502,25.1,1.0327,2.3525,2.5216,1.5521,1.2497,7.6759,5601.0308,215.2681,overload
503,25.15,1.0323,2.3531,2.5261,1.5559,1.2526,7.6878,5618.0853,215.7681,overload
504,25.2,1.032,2.3537,2.5307,1.5598,1.2555,7.6997,5635.1503,216.2681,overload
505,25.25,1.0317,2.3543,2.5352,1.5637,1.2583,7.7115,5652.2258,216.7681,overload
506,25.3,1.0314,2.3549,2.5397,1.5676,1.2612,7.7234,5669.3115,217.2681,overload
507,25.35,1.0311,2.3555,2.5442,1.5716,1.2641,7.7353,5686.4076,217.7681,overload
508,25.4,1.0308,2.3561,2.5488,1.5755,1.2669,7.7472,5703.5139,218.2681,overload
509,25.45,1.0305,2.3567,2.5533,1.5794,1.2698,7.7592,5720.6303,218.7681,overload
510,25.5,1.0302,2.3572,2.5578,1.5833,1.2727,7.7711,5737.7568,219.2681,overload
511,25.55,1.0299,2.3578,2.5623,1.5873,1.2756,7.783,5754.8934,219.7681,overload
512,25.6,1.0296,2.3584,2.5668,1.5912,1.2785,7.7949,5772.0399,220.2681,overload
513,25.65,1.0293,2.359,2.5713,1.5952,1.2814,7.8069,5789.1963,220.7681,overload
514,25.7,1.029,2.3596,2.5759,1.5991,1.2843,7.8188,5806.3625,221.2681,overload
515,25.75,1.0287,2.3601,2.5804,1.6031,1.2872,7.8308,5823.5385,221.7681,overload
516,25.8,1.0284,2.3607,2.5849,1.607,1.2901,7.8427,5840.7243,222.2681,overload
517,25.85,1.0281,2.3613,2.5894,1.611,1.293,7.8547,5857.9196,222.7681,overload
518,25.9,1.0278,2.3619,2.5939,1.615,1.2959,7.8666,5875.1246,223.2681,overload
519,25.95,1.0276,2.3624,2.5983,1.619,1.2989,7.8786,5892.3391,223.7681,overload
520,26.0,1.0273,2.363,2.6028,1.623,1.3018,7.8906,5909.563,224.2681,overload
521,26.05,1.027,2.3636,2.6073,1.627,1.3047,7.9026,5926.7963,224.7681,overload
522,26.1,1.0267,2.3641,2.6118,1.631,1.3077,7.9146,5944.0389,225.2681,overload
523,26.15,1.0265,2.3647,2.6163,1.635,1.3106,7.9266,5961.2909,225.7681,overload
524,26.2,1.0262,2.3652,2.6208,1.639,1.3136,7.9386,5978.552,226.2681,overload
525,26.25,1.026,2.3658,2.6252,1.643,1.3165,7.9506,5995.8222,226.7681,overload
526,26.3,1.0257,2.3663,2.6297,1.6471,1.3195,7.9626,6013.1015,227.2681,overload
527,26.35,1.0254,2.3669,2.6342,1.6511,1.3224,7.9746,6030.3899,227.7681,overload
528,26.4,1.0252,2.3674,2.6387,1.6551,1.3254,7.9866,6047.6872,228.2681,overload
529,26.45,1.0249,2.368,2.6431,1.6592,1.3284,7.9987,6064.9934,228.7681,overload
530,26.5,1.0247,2.3685,2.6476,1.6632,1.3313,8.0107,6082.3084,229.2681,overload
531,26.55,1.0244,2.3691,2.652,1.6673,1.3343,8.0227,6099.6322,229.7681,overload
532,26.6,1.0242,2.3696,2.6565,1.6713,1.3373,8.0348,6116.9647,230.2681,overload
533,26.65,1.024,2.3702,2.661,1.6754,1.3403,8.0468,6134.3058,230.7681,overload
534,26.7,1.0237,2.3707,2.6654,1.6795,1.3433,8.0589,6151.6555,231.2681,overload
535,26.75,1.0235,2.3712,2.6699,1.6836,1.3463,8.071,6169.0138,231.7681,overload
536,26.8,1.0233,2.3718,2.6743,1.6876,1.3493,8.083,6186.3805,232.2681,overload
537,26.85,1.023,2.3723,2.6787,1.6917,1.3523,8.0951,6203.7556,232.7681,overload
538,26.9,1.0228,2.3729,2.6832,1.6958,1.3553,8.1072,6221.139,233.2681,overload
539,26.95,1.0226,2.3734,2.6876,1.6999,1.3583,8.1193,6238.5308,233.7681,overload
540,27.0,1.0223,2.3739,2.6921,1.704,1.3613,8.1314,6255.9307,234.2681,overload
541,27.05,1.0221,2.3744,2.6965,1.7082,1.3644,8.1435,6273.3388,234.7681,overload
542,27.1,1.0219,2.375,2.7009,1.7123,1.3674,8.1556,6290.755,235.2681,overload
543,27.15,1.0217,2.3755,2.7053,1.7164,1.3704,8.1677,6308.1793,235.7681,overload
544,27.2,1.0215,2.376,2.7098,1.7205,1.3735,8.1798,6325.6115,236.2681,overload
545,27.25,1.0213,2.3765,2.7142,1.7247,1.3765,8.1919,6343.0516,236.7681,overload
546,27.3,1.021,2.3771,2.7186,1.7288,1.3795,8.204,6360.4996,237.2681,overload
547,27.35,1.0208,2.3776,2.723,1.733,1.3826,8.2162,6377.9555,237.7681,overload
548,27.4,1.0206,2.3781,2.7274,1.7371,1.3856,8.2283,6395.419,238.2681,overload
549,27.45,1.0204,2.3786,2.7318,1.7413,1.3887,8.2404,6412.8903,238.7681,overload
550,27.5,1.0202,2.3791,2.7362,1.7455,1.3918,8.2526,6430.3691,239.2681,overload
551,27.55,1.02,2.3796,2.7406,1.7496,1.3948,8.2647,6447.8556,239.7681,overload
552,27.6,1.0198,2.3801,2.745,1.7538,1.3979,8.2769,6465.3495,240.2681,overload
553,27.65,1.0196,2.3806,2.7494,1.758,1.401,8.2891,6482.8509,240.7681,overload
554,27.7,1.0194,2.3812,2.7538,1.7622,1.4041,8.3012,6500.3597,241.2681,overload
555,27.75,1.0192,2.3817,2.7582,1.7664,1.4071,8.3134,6517.8758,241.7681,overload
556,27.8,1.019,2.3822,2.7626,1.7706,1.4102,8.3256,6535.3993,242.2681,overload
557,27.85,1.0188,2.3827,2.767,1.7748,1.4133,8.3378,6552.9299,242.7681,overload
558,27.9,1.0187,2.3832,2.7714,1.779,1.4164,8.35,6570.4677,243.2681,overload
559,27.95,1.0185,2.3837,2.7758,1.7832,1.4195,8.3622,6588.0126,243.7681,overload
560,28.0,1.0183,2.3842,2.7801,1.7874,1.4226,8.3744,6605.5646,244.2681,overload
561,28.05,1.0181,2.3847,2.7845,1.7917,1.4257,8.3866,6623.1236,244.7681,overload
562,28.1,1.0179,2.3852,2.7889,1.7959,1.4289,8.3988,6640.6895,245.2681,overload
563,28.15,1.0177,2.3856,2.7933,1.8001,1.432,8.411,6658.2623,245.7681,overload
564,28.2,1.0176,2.3861,2.7976,1.8044,1.4351,8.4232,6675.842,246.2681,overload
565,28.25,1.0174,2.3866,2.802,1.8086,1.4382,8.4355,6693.4284,246.7681,overload
