step,t,phi_infect,c_immune,c_endo,c_renal,c_cardiac,c_total,psi,Ms,regime
56,2.8,3.8253,0.7588,0.5718,0.5387,0.5238,2.3931,6.0561,3.9203,overload
57,2.85,3.7972,0.7729,0.5735,0.5394,0.5243,2.4101,6.3553,4.1137,overload
58,2.9,3.7693,0.7868,0.5753,0.5402,0.5247,2.4271,6.6588,4.3081,overload
59,2.95,3.7418,0.8006,0.5772,0.5409,0.5252,2.4439,6.9674,4.5036,overload
60,3.0,3.7145,0.8143,0.579,0.5417,0.5257,2.4606,7.2817,4.7003,overload
61,3.05,3.6875,0.8278,0.5809,0.5424,0.5262,2.4773,7.6023,4.8982,overload
62,3.1,3.6608,0.8412,0.5829,0.5432,0.5266,2.4939,7.9299,5.0977,overload
63,3.15,3.6343,0.8545,0.5849,0.544,0.5271,2.5104,8.2651,5.2986,overload
64,3.2,3.6081,0.8676,0.5869,0.5447,0.5276,2.5268,8.6087,5.5012,overload
65,3.25,3.5821,0.8806,0.5889,0.5455,0.5281,2.5432,8.9614,5.7056,overload
66,3.3,3.5564,0.8935,0.591,0.5463,0.5286,2.5594,9.3237,5.9119,overload
67,3.35,3.531,0.9063,0.5931,0.5471,0.5291,2.5756,9.6965,6.1202,overload
68,3.4,3.5058,0.919,0.5953,0.5478,0.5296,2.5917,10.0805,6.3305,overload
69,3.45,3.4809,0.9315,0.5975,0.5486,0.5301,2.6077,10.4765,6.5432,overload
70,3.5,3.4562,0.944,0.5997,0.5494,0.5306,2.6237,10.8852,6.7581,overload
71,3.55,3.4318,0.9563,0.602,0.5502,0.5311,2.6396,11.3075,6.9756,overload
72,3.6,3.4076,0.9685,0.6043,0.551,0.5316,2.6554,11.7443,7.1956,overload
73,3.65,3.3836,0.9806,0.6067,0.5518,0.5321,2.6711,12.1965,7.4184,overload
74,3.7,3.3599,0.9925,0.609,0.5526,0.5326,2.6867,12.6651,7.644,overload
75,3.75,3.3364,1.0044,0.6114,0.5534,0.5331,2.7023,13.1509,7.8727,overload
76,3.8,3.3132,1.0161,0.6139,0.5542,0.5336,2.7179,13.6552,8.1044,overload
77,3.85,3.2901,1.0278,0.6163,0.555,0.5342,2.7333,14.179,8.3395,overload
78,3.9,3.2674,1.0393,0.6188,0.5559,0.5347,2.7487,14.7235,8.5779,overload
79,3.95,3.2448,1.0507,0.6214,0.5567,0.5352,2.764,15.2899,8.82,overload
80,4.0,3.2225,1.062,0.6239,0.5575,0.5358,2.7792,15.8796,9.0658,overload
81,4.05,3.2003,1.0732,0.6265,0.5583,0.5363,2.7944,16.4939,9.3154,overload
82,4.1,3.1784,1.0843,0.6292,0.5592,0.5368,2.8095,17.1344,9.5692,overload
83,4.15,3.1568,1.0953,0.6318,0.56,0.5374,2.8246,17.8026,9.8271,overload
