condition,final_psi,final_phi,final_C,std_C,regime,note
adaptive (alpha=0.08),3947.0359,4.4843,20.8646,14.4875,overload,toy diagnostic only
control (alpha=0.0),709356.2081,50.5278,0.6064,0.0,overload,toy diagnostic only
