step,psi_adaptive,psi_control,S_adaptive,Ms_adaptive
6.1000000000000005,158.5819,11179.8241,5.3504,7.6114
6.15,163.7586,11475.7734,5.4491,7.7339
6.2,168.9504,11743.8291,5.549,7.8572
6.25,174.1936,12046.6389,5.6498,7.9814
6.300000000000001,179.4217,12326.1693,5.7518,8.1064
6.3500000000000005,184.6466,12643.8825,5.8549,8.2325
6.4,189.8195,12934.3774,5.959,8.3596
6.45,194.9299,13261.7843,6.0643,8.4879
6.5,199.9278,13556.5585,6.1708,8.6176
6.550000000000001,204.7808,13894.76,6.2784,8.7486
6.6000000000000005,209.4344,14202.975,6.3872,8.8811
6.65,213.8381,14555.226,6.4972,9.0154
6.7,217.9446,14874.4679,6.6081,9.151
6.75,221.7005,15232.9379,6.7198,9.2875
6.800000000000001,225.0968,15559.9976,6.8323,9.4245
6.8500000000000005,228.1244,15932.1703,6.9458,9.562
6.9,230.8452,16273.8063,7.0599,9.7001
6.95,233.2856,16658.9246,7.1748,9.8389
7.0,235.6016,17009.5594,7.2905,9.9785
7.050000000000001,237.8585,17401.2282,7.4075,10.1189
7.1000000000000005,240.2718,17763.7598,7.5258,10.2602
7.15,242.8436,18171.3213,7.6452,10.4024
7.2,245.7658,18547.8248,7.7656,10.5457
7.25,248.9429,18967.4183,7.8869,10.6901
7.300000000000001,252.5734,19349.6646,8.0091,10.8357
7.3500000000000005,256.4849,19780.4592,8.1323,10.9825
7.4,260.8608,20177.442,8.2565,11.1307
7.45,265.4977,20624.6479,8.3817,11.2803
7.5,270.5175,21034.0902,8.5082,11.4315
7.550000000000001,275.7787,21490.5529,8.636,11.5839
7.6000000000000005,281.3171,21908.4497,8.7651,11.737
7.65,287.039,22379.5481,8.8954,11.8906
7.7,292.9186,22813.5393,9.0268,12.0448
7.75,298.8973,23299.8581,9.1591,12.1997
7.800000000000001,304.9296,23744.7297,9.2924,12.3553
7.8500000000000005,310.9662,24239.5247,9.4267,12.5117
7.9,316.9629,24697.1273,9.5619,12.6689
7.95,322.8663,25208.8632,9.6981,12.8271
8.0,328.6404,25682.7155,9.8352,12.9863
8.05,334.2552,26208.0703,9.9733,13.1466
8.1,339.6622,26690.7488,10.1123,13.308
8.15,344.8895,27228.0952,10.2522,13.4707
8.200000000000001,349.8679,27726.9365,10.393,13.6347
8.25,354.7171,28282.1666,10.5345,13.8001
8.3,359.3727,28795.1833,10.677,13.967
8.35,363.9928,29362.3322,10.8205,14.1352
8.4,368.5425,29885.097,10.9652,14.3044
8.450000000000001,373.1727,30468.6459,11.1109,14.4742
8.5,377.8425,31008.8294,11.2578,14.6446
8.55,382.668,31608.8826,11.4058,14.8155
8.6,387.5781,32162.3699,11.5548,14.9872
8.65,392.6583,32772.5679,11.705,15.1595
8.700000000000001,397.8432,33340.7213,11.8563,15.3327
8.75,403.1801,33969.7553,12.0084,15.5067
8.8,408.602,34555.2714,12.1612,15.6816
8.85,414.1143,35199.6286,12.315,15.8574
8.9,419.7058,35795.1436,12.4696,16.0343
8.950000000000001,425.3387,36453.9047,12.6252,16.2123
9.0,431.0464,37067.6023,12.7817,16.3914
9.05,436.7775,37745.5575,12.9392,16.5718
9.1,442.5841,38375.3702,13.0978,16.7535
9.15,448.4054,39065.9078,13.2575,16.9367
9.200000000000001,454.3103,39708.0058,13.4183,17.1212
9.25,460.2337,40417.5959,13.5804,17.3068
9.3,466.2346,41079.2075,13.7436,17.4931
9.35,472.25,41806.6132,13.9077,17.68
9.4,478.3177,42481.8602,14.0728,17.8676
9.450000000000001,484.3849,43221.5513,14.2388,18.0558
9.5,490.468,43915.0528,14.4056,18.2446
9.55,496.5074,44675.6757,14.573,18.4341
9.600000000000001,502.599,45387.4837,14.7413,18.6245
9.65,508.6085,46163.7556,14.9104,18.8157
9.700000000000001,514.6041,46887.2231,15.0803,19.0081
9.75,520.6236,47682.3298,15.2514,19.2016
9.8,526.6811,48425.9879,15.4233,19.3961
9.850000000000001,532.7934,49241.5717,15.5963,19.5917
9.9,538.9572,50001.3127,15.7702,19.7884
9.950000000000001,545.1975,50830.2525,15.9451,19.9864
