t,mean_phi,mean_C,mean_beta,mean_psi_s,ischemia_warning
0.0,0.9890000000000003,1.4499999999999995,0.05000000000000001,0.6820689655172416,1
0.2,0.9450000000000002,1.4499999999999995,0.05000000000000001,0.6517241379310346,1
0.4,0.9009999999999999,1.4499999999999995,0.05000000000000001,0.6213793103448275,1
0.6000000000000001,0.8569999999999998,1.4499999999999995,0.05000000000000001,0.5910344827586206,1
0.8,0.8130000000000002,1.4499999999999995,0.05000000000000001,0.5606896551724139,1
1.0,0.769,1.4499999999999995,0.05000000000000001,0.5303448275862069,1
1.2000000000000002,0.7249999999999998,1.4499999999999995,0.05000000000000001,0.49999999999999994,1
1.4000000000000001,0.6809999999999997,1.4499999999999995,0.05000000000000001,0.4696551724137929,1
1.6,0.6369999999999998,1.4499999999999995,0.05000000000000001,0.43931034482758596,1
1.8,0.5929999999999997,1.4499999999999995,0.05000000000000001,0.4089655172413789,1
2.0,0.5489999999999996,1.4499999999999995,0.05000000000000001,0.3786206896551721,1
2.2,0.5049999999999997,1.4499999999999995,0.05000000000000001,0.3482758620689651,1
2.4000000000000004,0.46099999999999947,1.4499999999999995,0.05000000000000001,0.3179310344827583,1
2.6,0.4169999999999996,1.4499999999999995,0.05000000000000001,0.28758620689655146,1
2.8000000000000003,0.3729999999999994,1.4499999999999995,0.05000000000000001,0.25724137931034446,1
3.0,0.3289999999999994,1.4499999999999995,0.05000000000000001,0.2268965517241375,1
3.2,0.2849999999999993,1.4499999999999995,0.05000000000000001,0.19655172413793057,1
3.4000000000000004,0.24099999999999924,1.4499999999999995,0.05000000000000001,0.1662068965517237,1
3.6,0.19699999999999923,1.4499999999999995,0.05000000000000001,0.13586206896551675,1
3.8000000000000003,0.1529999999999992,1.4499999999999995,0.05000000000000001,0.10551724137930979,1
4.0,0.10899999999999926,1.4499999999999995,0.05000000000000001,0.07517241379310292,1
4.2,0.06499999999999927,1.4499999999999995,0.05000000000000001,0.04482758620689605,1
4.4,0.02099999999999924,1.4499999999999995,0.05000000000000001,0.014482758620689129,1
4.6000000000000005,0.01,1.4499999999999995,0.05000000000000001,0.006896551724137932,1
4.800000000000001,0.01,1.4499999999999995,0.05000000000000001,0.006896551724137932,1
5.0,0.01,1.4499999999999995,0.05000000000000001,0.006896551724137932,1
5.2,0.01,1.4499999999999995,0.05000000000000001,0.006896551724137932,1
5.4,0.01,1.4499999999999995,0.05000000000000001,0.006896551724137932,1
5.6000000000000005,0.01,1.4499999999999995,0.05000000000000001,0.006896551724137932,1
5.800000000000001,0.01,1.4499999999999995,0.05000000000000001,0.006896551724137932,1
6.0,0.01,1.4499999999999995,0.05000000000000001,0.006896551724137932,1
6.2,0.01,1.4499999999999995,0.05000000000000001,0.006896551724137932,1
6.4,0.01,1.4499999999999995,0.05000000000000001,0.006896551724137932,1
6.6000000000000005,0.01,1.4499999999999995,0.05000000000000001,0.006896551724137932,1
6.800000000000001,0.01,1.4499999999999995,0.05000000000000001,0.006896551724137932,1
7.0,0.01,1.4499999999999995,0.05000000000000001,0.006896551724137932,1
7.2,0.01,1.4499999999999995,0.05000000000000001,0.006896551724137932,1
7.4,0.01,1.4499999999999995,0.05000000000000001,0.006896551724137932,1
7.6000000000000005,0.01,1.4499999999999995,0.05000000000000001,0.006896551724137932,1
7.800000000000001,0.01,1.4499999999999995,0.05000000000000001,0.006896551724137932,1
