t,lesion_phi,lesion_S,lesion_psi_s,system_C,system_psi_s
0.0,1.0351749941944142,0.08000000000000002,0.08254892261818782,1.0003388038880305,0.9578455833079524
0.12,1.2479669953958565,0.08000000000000002,0.09762009399154731,1.00239451659201,0.9598361171499111
0.24,1.4641552712919164,0.08000000000000002,0.11234431698562032,1.00448966068121,0.9628117065615854
0.36,1.6843623243363512,0.08000000000000002,0.12569117510378666,1.007043980812182,0.965742370987118
0.48,1.9092786135967745,0.08000000000000002,0.13784576732410614,1.009921195385257,0.968636908239203
0.6,2.139624567368441,0.08000000000000002,0.14930725111037935,1.0129290455283506,0.9715185601121428
0.72,2.3761794469341573,0.08000000000000002,0.1601189196232866,1.0160709748461274,0.9743896590961592
0.84,2.6197953069922075,0.08000000000000002,0.17032760250444862,1.0193508909516782,0.9772527221916902
0.96,2.871410405361137,0.08000000000000002,0.17998291043957565,1.0227732111153194,0.9801104147074189
1.08,3.132065012632494,0.08000000000000002,0.18913663645204,1.0263429162480027,0.9829655208361455
1.2,3.402920209345657,0.08000000000000002,0.19784231741750732,1.030065614760676,0.9858209211218066
1.32,3.68528041795257,0.08000000000000002,0.2061549569608289,1.0339476182224583,0.9886795768138915
1.44,3.980620628487978,0.08000000000000002,0.21413091054719827,1.037996031228182,0.9915445210762185
1.56,4.290619559700514,0.08000000000000002,0.22182793516005905,1.042218858515124,0.994418857072273
1.68,4.617200378844655,0.08000000000000002,0.22930540949816638,1.0466251331880576,0.9973057630890205
1.8,4.962581122900256,0.08000000000000002,0.2366247362946602,1.0512250709889663,1.0002085050914626
1.92,5.329337679357327,0.08000000000000002,0.24384994654686779,1.0560302569784397,1.003130457436194
2.04,5.720483181218876,0.08000000000000002,0.25104853684369866,1.0610538729164836,1.0060751329424142
2.16,6.139569076640239,0.08000000000000002,0.2582925867444055,1.0663109762389622,1.0090462241712082
2.2800000000000002,6.5908151439827956,0.08000000000000002,0.2656602251478507,1.0718188451124804,1.0120476586760088
2.4,7.079261417660183,0.08000000000000002,0.2732368778440808,1.0775974086079858,1.0150836416568667
2.52,7.6108083728893074,0.08000000000000002,0.2811113025582697,1.083669736538221,1.018158462087908
2.64,8.192817703990492,0.08000000000000002,0.28939136844337543,1.0900626698990281,1.021277201770194
2.7600000000000002,8.834447028412649,0.08000000000000002,0.29820508794993406,1.096807778812472,1.0244457447118103
2.88,9.547142916837235,0.08000000000000002,0.3077043421584456,1.1039425251988781,1.0276709116314353
3.0,10.34540750956681,0.08000000000000002,0.3180730578631284,1.111511791985213,1.0309607900775657
3.12,11.24789412758464,0.08000000000000002,0.3295387110739592,1.1195699453913817,1.0343252031683892
3.24,12.27900893280394,0.08000000000000002,0.3423888748733697,1.1281836693692802,1.0377763899631374
3.36,13.471313385246972,0.08000000000000002,0.3569956322272402,1.137435946273468,1.0413300180011948
3.48,14.869235707832994,0.08000000000000002,0.3738526434819325,1.1474317874602455,1.0450067338109064
3.6,16.535003770771354,0.08000000000000002,0.3936333251648037,1.1583067233690905,1.0488346167016867
3.72,18.558516418291397,0.08000000000000002,0.41728576450559085,1.1702398127609066,1.0528532143758695
3.84,21.074568951845414,0.08000000000000002,0.44619482640393265,1.1834743919099393,1.057120489965562
3.96,24.29469591912606,0.08000000000000002,0.4824747602171947,1.1983528147569877,1.0617254585099372
4.08,25.0,0.08000000000000002,0.46519907046120884,1.2144268670978002,1.0639185225601668
4.2,25.0,0.08000000000000002,0.4375828267559156,1.230526424823227,1.0657627015917879
4.32,25.0,0.08000000000000002,0.41304270917146335,1.2466442098315225,1.0678680585408604
4.44,25.0,0.08000000000000002,0.39109074980885516,1.2627802239038612,1.070206884939854
4.5600000000000005,25.0,0.08000000000000002,0.3713372122619548,1.2789344687722604,1.0727569405133457
4.68,25.0,0.08000000000000002,0.35346701338558273,1.2951069460795337,1.075500210123273
4.8,25.0,0.08000000000000002,0.337222636201097,1.3112976573432946,1.0784219912913604
4.92,25.0,0.08000000000000002,0.32239153752515537,1.3275066039232284,1.0815102132508678
5.04,25.0,0.08000000000000002,0.3087967270221619,1.343733786991056,1.0847549212424512
5.16,25.0,0.08000000000000002,0.2962896222030374,1.359979207502669,1.0881478807599876
5.28,25.0,0.08000000000000002,0.284744561983345,1.3762428661720545,1.0916822702097826
5.4,25.0,0.08000000000000002,0.2740545458780333,1.3925247634466489,1.0953524396497092
5.5200000000000005,25.0,0.08000000000000002,0.2641278905423058,1.4088248994838635,1.0991537195465386
5.64,25.0,0.08000000000000002,0.25488558100071385,1.4251432741285157,1.1030822678365175
5.76,25.0,0.08000000000000002,0.24625915365493473,1.4414798868910006,1.1071349466338716
5.88,25.0,0.08000000000000002,0.2381889904426903,1.457834736925984,1.1113092221162393
