step,t,psi_sensitive,psi_resistant,drug_on,regime_sensitive,regime_resistant
131,5.24,10000.0,347.6978,False,overload,overload
132,5.28,10000.0,376.2731,False,overload,overload
133,5.32,10000.0,408.0523,False,overload,overload
134,5.36,10000.0,443.495,False,overload,overload
135,5.4,10000.0,483.1413,False,overload,overload
136,5.44,10000.0,527.6296,False,overload,overload
137,5.48,10000.0,577.7173,False,overload,overload
138,5.52,10000.0,634.3074,False,overload,overload
139,5.56,10000.0,698.4826,False,overload,overload
140,5.6,10000.0,771.5474,False,overload,overload
141,5.64,10000.0,855.0831,False,overload,overload
142,5.68,10000.0,951.0182,False,overload,overload
143,5.72,10000.0,1061.72,False,overload,overload
144,5.76,10000.0,1190.1146,False,overload,overload
145,5.8,10000.0,1339.846,False,overload,overload
146,5.84,10000.0,1515.4883,False,overload,overload
147,5.88,10000.0,1722.8323,False,overload,overload
148,5.92,10000.0,1969.277,False,overload,overload
149,5.96,10000.0,2264.3699,False,overload,overload
150,6.0,10000.0,1558.3707,True,overload,overload
151,6.04,10000.0,1466.3281,True,overload,overload
152,6.08,10000.0,1407.4906,True,overload,overload
153,6.12,10000.0,1370.9945,True,overload,overload
154,6.16,10000.0,1350.5057,True,overload,overload
155,6.2,10000.0,1342.0974,True,overload,overload
156,6.24,10000.0,1343.2233,True,overload,overload
157,6.28,10000.0,1352.1786,True,overload,overload
158,6.32,10000.0,1367.7971,True,overload,overload
159,6.36,10000.0,1389.2727,True,overload,overload
160,6.4,10000.0,1416.0491,True,overload,overload
161,6.44,10000.0,1447.75,True,overload,overload
162,6.48,10000.0,1484.1328,True,overload,overload
163,6.52,10000.0,1525.0579,True,overload,overload
164,6.56,10000.0,1570.4677,True,overload,overload
165,6.6,10000.0,1620.3724,True,overload,overload
166,6.64,10000.0,1674.84,True,overload,overload
167,6.68,10000.0,1733.9902,True,overload,overload
168,6.72,10000.0,1797.9898,True,overload,overload
169,6.76,10000.0,1867.0508,True,overload,overload
170,6.8,10000.0,1941.4292,True,overload,overload
171,6.84,10000.0,2021.4255,True,overload,overload
172,6.88,10000.0,2107.3858,True,overload,overload
173,6.92,10000.0,2199.7042,True,overload,overload
174,6.96,10000.0,2298.8259,True,overload,overload
175,7.0,10000.0,2405.251,True,overload,overload
176,7.04,10000.0,2519.5397,True,overload,overload
177,7.08,10000.0,2642.3181,True,overload,overload
178,7.12,10000.0,2774.2851,True,overload,overload
179,7.16,10000.0,2916.2206,True,overload,overload
180,7.2,10000.0,3068.9948,True,overload,overload
181,7.24,10000.0,3233.5798,True,overload,overload
182,7.28,10000.0,3411.0617,True,overload,overload
183,7.32,10000.0,3602.6559,True,overload,overload
184,7.36,10000.0,3809.7244,True,overload,overload
185,7.4,10000.0,4033.7957,True,overload,overload
186,7.44,10000.0,4276.5881,True,overload,overload
187,7.48,10000.0,4540.0375,True,overload,overload
188,7.52,10000.0,4826.3291,True,overload,overload
189,7.56,10000.0,5137.9348,True,overload,overload
190,7.6,10000.0,5477.6579,True,overload,overload
191,7.64,10000.0,5848.6851,True,overload,overload
192,7.68,10000.0,6254.6485,True,overload,overload
193,7.72,10000.0,6699.6991,True,overload,overload
194,7.76,10000.0,7188.5951,True,overload,overload
195,7.8,10000.0,7726.8065,True,overload,overload
196,7.84,10000.0,8320.6422,True,overload,overload
197,7.88,10000.0,8977.4031,True,overload,overload
198,7.92,10000.0,9705.5669,True,overload,overload
199,7.96,10000.0,10000.0,True,overload,overload
200,8.0,10000.0,10000.0,True,overload,overload
201,8.04,10000.0,10000.0,True,overload,overload
202,8.08,10000.0,10000.0,True,overload,overload
203,8.12,10000.0,10000.0,True,overload,overload
204,8.16,10000.0,10000.0,True,overload,overload
205,8.2,10000.0,10000.0,True,overload,overload
206,8.24,10000.0,10000.0,True,overload,overload
207,8.28,10000.0,10000.0,True,overload,overload
208,8.32,10000.0,10000.0,True,overload,overload
209,8.36,10000.0,10000.0,True,overload,overload
210,8.4,10000.0,10000.0,True,overload,overload
211,8.44,10000.0,10000.0,True,overload,overload
212,8.48,10000.0,10000.0,True,overload,overload
213,8.52,10000.0,10000.0,True,overload,overload
214,8.56,10000.0,10000.0,True,overload,overload
215,8.6,10000.0,10000.0,True,overload,overload
216,8.64,10000.0,10000.0,True,overload,overload
217,8.68,10000.0,10000.0,True,overload,overload
218,8.72,10000.0,10000.0,True,overload,overload
219,8.76,10000.0,10000.0,True,overload,overload
220,8.8,10000.0,10000.0,True,overload,overload
221,8.84,10000.0,10000.0,True,overload,overload
222,8.88,10000.0,10000.0,True,overload,overload
223,8.92,10000.0,10000.0,True,overload,overload
224,8.96,10000.0,10000.0,True,overload,overload
225,9.0,10000.0,10000.0,True,overload,overload
226,9.04,10000.0,10000.0,True,overload,overload
227,9.08,10000.0,10000.0,True,overload,overload
228,9.12,10000.0,10000.0,True,overload,overload
229,9.16,10000.0,10000.0,True,overload,overload
230,9.2,10000.0,10000.0,True,overload,overload
231,9.24,10000.0,10000.0,True,overload,overload
232,9.28,10000.0,10000.0,True,overload,overload
233,9.32,10000.0,10000.0,True,overload,overload
234,9.36,10000.0,10000.0,True,overload,overload
235,9.4,10000.0,10000.0,True,overload,overload
236,9.44,10000.0,10000.0,True,overload,overload
237,9.48,10000.0,10000.0,True,overload,overload
238,9.52,10000.0,10000.0,True,overload,overload
239,9.56,10000.0,10000.0,True,overload,overload
240,9.6,10000.0,10000.0,True,overload,overload
241,9.64,10000.0,10000.0,True,overload,overload
242,9.68,10000.0,10000.0,True,overload,overload
243,9.72,10000.0,10000.0,True,overload,overload
244,9.76,10000.0,10000.0,True,overload,overload
245,9.8,10000.0,10000.0,True,overload,overload
246,9.84,10000.0,10000.0,True,overload,overload
247,9.88,10000.0,10000.0,True,overload,overload
248,9.92,10000.0,10000.0,True,overload,overload
249,9.96,10000.0,10000.0,True,overload,overload
250,10.0,10000.0,10000.0,True,overload,overload
251,10.04,10000.0,10000.0,True,overload,overload
252,10.08,10000.0,10000.0,True,overload,overload
253,10.12,10000.0,10000.0,True,overload,overload
254,10.16,10000.0,10000.0,True,overload,overload
255,10.2,10000.0,10000.0,True,overload,overload
256,10.24,10000.0,10000.0,True,overload,overload
257,10.28,10000.0,10000.0,True,overload,overload
258,10.32,10000.0,10000.0,True,overload,overload
259,10.36,10000.0,10000.0,True,overload,overload
260,10.4,10000.0,10000.0,True,overload,overload
261,10.44,10000.0,10000.0,True,overload,overload
262,10.48,10000.0,10000.0,True,overload,overload
263,10.52,10000.0,10000.0,True,overload,overload
264,10.56,10000.0,10000.0,True,overload,overload
265,10.6,10000.0,10000.0,True,overload,overload
266,10.64,10000.0,10000.0,True,overload,overload
267,10.68,10000.0,10000.0,True,overload,overload
268,10.72,10000.0,10000.0,True,overload,overload
269,10.76,10000.0,10000.0,True,overload,overload
270,10.8,10000.0,10000.0,True,overload,overload
