step,t,mean_psi,std_psi,donor_species
179,7.16,10000.0,0.0,0
180,7.2,10000.0,0.0,0
181,7.24,10000.0,0.0,0
182,7.28,10000.0,0.0,0
183,7.32,10000.0,0.0,0
184,7.36,10000.0,0.0,0
185,7.4,10000.0,0.0,0
186,7.44,10000.0,0.0,0
187,7.48,10000.0,0.0,0
188,7.52,10000.0,0.0,0
189,7.56,10000.0,0.0,0
190,7.6,10000.0,0.0,0
191,7.64,10000.0,0.0,0
192,7.68,10000.0,0.0,0
193,7.72,10000.0,0.0,0
194,7.76,10000.0,0.0,0
195,7.8,10000.0,0.0,0
196,7.84,10000.0,0.0,0
197,7.88,10000.0,0.0,0
198,7.92,10000.0,0.0,0
199,7.96,10000.0,0.0,0
200,8.0,10000.0,0.0,0
201,8.04,10000.0,0.0,0
202,8.08,10000.0,0.0,0
203,8.12,10000.0,0.0,0
204,8.16,10000.0,0.0,0
205,8.2,10000.0,0.0,0
206,8.24,10000.0,0.0,0
207,8.28,10000.0,0.0,0
208,8.32,10000.0,0.0,0
209,8.36,10000.0,0.0,0
210,8.4,10000.0,0.0,0
211,8.44,10000.0,0.0,0
212,8.48,10000.0,0.0,0
213,8.52,10000.0,0.0,0
214,8.56,10000.0,0.0,0
215,8.6,10000.0,0.0,0
216,8.64,10000.0,0.0,0
217,8.68,10000.0,0.0,0
218,8.72,10000.0,0.0,0
219,8.76,10000.0,0.0,0
220,8.8,10000.0,0.0,0
221,8.84,10000.0,0.0,0
222,8.88,10000.0,0.0,0
223,8.92,10000.0,0.0,0
224,8.96,10000.0,0.0,0
225,9.0,10000.0,0.0,0
226,9.04,10000.0,0.0,0
227,9.08,10000.0,0.0,0
228,9.12,10000.0,0.0,0
229,9.16,10000.0,0.0,0
230,9.2,10000.0,0.0,0
231,9.24,10000.0,0.0,0
232,9.28,10000.0,0.0,0
233,9.32,10000.0,0.0,0
234,9.36,10000.0,0.0,0
235,9.4,10000.0,0.0,0
236,9.44,10000.0,0.0,0
237,9.48,10000.0,0.0,0
238,9.52,10000.0,0.0,0
239,9.56,10000.0,0.0,0
240,9.6,10000.0,0.0,0
241,9.64,10000.0,0.0,0
242,9.68,10000.0,0.0,0
243,9.72,10000.0,0.0,0
244,9.76,10000.0,0.0,0
245,9.8,10000.0,0.0,0
246,9.84,10000.0,0.0,0
247,9.88,10000.0,0.0,0
248,9.92,10000.0,0.0,0
249,9.96,10000.0,0.0,0
250,10.0,10000.0,0.0,0
251,10.04,10000.0,0.0,0
252,10.08,10000.0,0.0,0
253,10.12,10000.0,0.0,0
254,10.16,10000.0,0.0,0
255,10.2,10000.0,0.0,0
256,10.24,10000.0,0.0,0
257,10.28,10000.0,0.0,0
258,10.32,10000.0,0.0,0
259,10.36,10000.0,0.0,0
260,10.4,10000.0,0.0,0
261,10.44,10000.0,0.0,0
262,10.48,10000.0,0.0,0
263,10.52,10000.0,0.0,0
264,10.56,10000.0,0.0,0
265,10.6,10000.0,0.0,0
266,10.64,10000.0,0.0,0
267,10.68,10000.0,0.0,0
268,10.72,10000.0,0.0,0
269,10.76,10000.0,0.0,0
270,10.8,10000.0,0.0,0
271,10.84,10000.0,0.0,0
272,10.88,10000.0,0.0,0
273,10.92,10000.0,0.0,0
274,10.96,10000.0,0.0,0
275,11.0,10000.0,0.0,0
276,11.04,10000.0,0.0,0
277,11.08,10000.0,0.0,0
278,11.12,10000.0,0.0,0
279,11.16,10000.0,0.0,0
280,11.2,10000.0,0.0,0
281,11.24,10000.0,0.0,0
282,11.28,10000.0,0.0,0
283,11.32,10000.0,0.0,0
284,11.36,10000.0,0.0,0
285,11.4,10000.0,0.0,0
286,11.44,10000.0,0.0,0
287,11.48,10000.0,0.0,0
288,11.52,10000.0,0.0,0
289,11.56,10000.0,0.0,0
290,11.6,10000.0,0.0,0
291,11.64,10000.0,0.0,0
292,11.68,10000.0,0.0,0
293,11.72,10000.0,0.0,0
294,11.76,10000.0,0.0,0
295,11.8,10000.0,0.0,0
296,11.84,10000.0,0.0,0
297,11.88,10000.0,0.0,0
298,11.92,10000.0,0.0,0
299,11.96,10000.0,0.0,0
300,12.0,10000.0,0.0,0
301,12.04,10000.0,0.0,0
302,12.08,10000.0,0.0,0
