step,t,mean_Vm,mean_C_mem,mean_psi,pacemaker_Vm
118,4.72,-67.6,1.3945,6.9939,-47.4659
119,4.76,-67.6,1.3943,7.21,-47.5487
120,4.8,-67.6,1.3942,7.4383,-47.6292
121,4.84,-67.6,1.3941,7.6798,-47.7073
122,4.88,-67.6,1.3939,7.9355,-47.7833
123,4.92,-67.6,1.3938,8.2067,-47.8571
124,4.96,-67.6,1.3937,8.495,-47.9289
125,5.0,-67.6,1.3935,8.8017,-47.9987
126,5.04,-67.6,1.3934,9.1288,-48.0666
127,5.08,-67.6,1.3933,9.4781,-48.1327
128,5.12,-67.6,1.3932,9.8518,-48.197
129,5.16,-67.6,1.393,10.2526,-48.2596
130,5.2,-67.6,1.3929,10.6831,-48.3205
131,5.24,-67.6,1.3928,11.1465,-48.3798
132,5.28,-67.6,1.3927,11.6466,-48.4377
133,5.32,-67.6,1.3926,12.1874,-48.494
134,5.36,-67.6,1.3924,12.7736,-48.5489
135,5.4,-67.6,1.3923,13.4107,-48.6024
136,5.44,-67.6,1.3922,14.1049,-48.6546
137,5.48,-67.6,1.3921,14.8634,-48.7055
138,5.52,-67.6,1.392,15.685,-48.7552
139,5.56,-67.6,1.3919,16.5599,-48.8037
140,5.6,-67.6,1.3917,17.4927,-48.851
141,5.64,-67.6,1.3916,18.4883,-48.8972
142,5.68,-67.6,1.3915,19.5519,-48.9423
143,5.72,-67.6,1.3914,20.6897,-48.9864
144,5.76,-67.6,1.3913,21.8976,-49.0295
145,5.8,-67.6,1.3912,23.1677,-49.0715
146,5.84,-67.6,1.3911,24.4934,-49.1127
147,5.88,-67.6,1.391,25.8731,-49.1529
148,5.92,-67.6,1.3909,27.3083,-49.1923
149,5.96,-67.6,1.3908,28.8006,-49.2308
150,6.0,-67.6,1.3907,30.3516,-49.2685
151,6.04,-67.6,1.3905,31.9529,-49.3054
152,6.08,-67.6,1.3904,33.6041,-49.3415
153,6.12,-67.6,1.3903,35.3057,-49.3768
154,6.16,-67.6,1.3902,37.0585,-49.4115
155,6.2,-67.6,1.3901,38.8635,-49.4454
156,6.24,-67.6,1.39,40.7216,-49.4787
157,6.28,-67.6,1.3899,42.6339,-49.5113
158,6.32,-67.6,1.3898,44.6018,-49.5433
159,6.36,-67.6,1.3897,46.6267,-49.5747
160,6.4,-67.54,1.3884,50.4161,-48.815
161,6.44,-67.48,1.3871,54.5103,-48.0641
162,6.48,-67.42,1.3858,58.9352,-47.3215
163,6.52,-67.36,1.3845,63.7196,-46.587
164,6.56,-67.3,1.3833,68.8647,-45.8602
165,6.6,-67.24,1.3822,74.3912,-45.141
166,6.64,-67.18,1.381,80.3245,-44.4289
167,6.68,-67.12,1.3799,86.6911,-43.7239
168,6.72,-67.06,1.3788,93.5191,-43.0256
169,6.76,-67.0,1.3778,100.8348,-42.3337
170,6.8,-66.94,1.3768,108.6606,-41.6482
171,6.84,-66.88,1.3757,117.0272,-40.9686
172,6.88,-66.82,1.3748,125.9667,-40.295
173,6.92,-66.76,1.3738,135.513,-39.6269
174,6.96,-66.7,1.3729,145.7018,-38.9643
175,7.0,-66.64,1.372,156.5708,-38.307
176,7.04,-66.58,1.3711,168.1595,-37.6547
177,7.08,-66.52,1.3702,180.5094,-37.0074
178,7.12,-66.46,1.3693,193.6642,-36.3648
179,7.16,-66.4,1.3685,207.67,-35.7268
180,7.2,-66.4,1.3683,214.2496,-35.8836
181,7.24,-66.4,1.368,220.917,-36.0355
182,7.28,-66.4,1.3678,227.6718,-36.1826
183,7.32,-66.4,1.3676,234.5137,-36.325
184,7.36,-66.4,1.3674,241.4424,-36.4631
185,7.4,-66.4,1.3672,248.4578,-36.597
186,7.44,-66.4,1.367,255.5594,-36.7267
187,7.48,-66.4,1.3668,262.7473,-36.8525
188,7.52,-66.4,1.3666,270.0212,-36.9746
189,7.56,-66.4,1.3664,277.381,-37.093
190,7.6,-66.4,1.3662,284.8268,-37.2079
191,7.64,-66.4,1.366,292.3585,-37.3194
192,7.68,-66.4,1.3659,299.9762,-37.4277
193,7.72,-66.4,1.3657,307.68,-37.5329
194,7.76,-66.4,1.3655,315.4703,-37.635
195,7.8,-66.4,1.3653,323.3471,-37.7343
196,7.84,-66.4,1.3651,331.311,-37.8307
197,7.88,-66.4,1.3649,339.3623,-37.9245
198,7.92,-66.4,1.3648,347.5016,-38.0157
199,7.96,-66.4,1.3646,355.7296,-38.1045
200,8.0,-66.4,1.3644,364.0471,-38.1908
201,8.04,-66.4,1.3642,372.455,-38.2748
202,8.08,-66.4,1.3641,380.9544,-38.3565
203,8.12,-66.4,1.3639,389.5465,-38.4361
204,8.16,-66.4,1.3637,398.233,-38.5137
205,8.2,-66.4,1.3636,407.0153,-38.5892
206,8.24,-66.4,1.3634,415.8956,-38.6629
207,8.28,-66.4,1.3632,424.8761,-38.7346
208,8.32,-66.4,1.3631,433.9595,-38.8046
209,8.36,-66.4,1.3629,443.1486,-38.8728
210,8.4,-66.4,1.3627,452.4454,-38.9394
211,8.44,-66.4,1.3626,461.8366,-39.0044
212,8.48,-66.4,1.3624,471.3229,-39.0678
213,8.52,-66.4,1.3623,480.9052,-39.1297
214,8.56,-66.4,1.3621,490.5831,-39.1902
215,8.6,-66.4,1.362,500.3519,-39.2493
216,8.64,-66.4,1.3618,510.2116,-39.307
217,8.68,-66.4,1.3616,520.1625,-39.3634
218,8.72,-66.4,1.3615,530.2049,-39.4186
219,8.76,-66.4,1.3613,540.3389,-39.4725
220,8.8,-66.4,1.3612,550.5648,-39.5253
221,8.84,-66.4,1.361,560.8829,-39.5769
222,8.88,-66.4,1.3609,571.2937,-39.6275
223,8.92,-66.4,1.3607,581.7976,-39.677
224,8.96,-66.4,1.3606,592.3949,-39.7254
225,9.0,-66.4,1.3604,603.0863,-39.7729
226,9.04,-66.4,1.3603,613.8722,-39.8194
227,9.08,-66.4,1.3601,624.7533,-39.865
228,9.12,-66.4,1.36,635.7303,-39.9097
229,9.16,-66.4,1.3599,646.804,-39.9535
230,9.2,-66.4,1.3597,657.9751,-39.9965
231,9.24,-66.4,1.3596,669.2447,-40.0387
232,9.28,-66.4,1.3594,680.6135,-40.0801
233,9.32,-66.4,1.3593,692.0829,-40.1207
234,9.36,-66.4,1.3591,703.6539,-40.1607
235,9.4,-66.4,1.359,715.3278,-40.1998
236,9.44,-66.4,1.3589,727.1061,-40.2383
237,9.48,-66.4,1.3587,738.9903,-40.2762
238,9.52,-66.4,1.3586,750.982,-40.3134
239,9.56,-66.4,1.3584,763.0832,-40.3499
240,9.6,-66.34,1.3576,804.522,-39.5955
241,9.64,-66.28,1.3567,848.08,-38.8497
242,9.68,-66.22,1.3559,893.8587,-38.1123
243,9.72,-66.16,1.3551,941.9645,-37.3829
244,9.76,-66.1,1.3543,992.5084,-36.6613
