step,t,mean_Vm,mean_C_mem,mean_psi,pacemaker_Vm
509,20.36,-61.6,1.2824,78646.5713,-2.9156
510,20.4,-61.6,1.2822,78770.7965,-3.0477
511,20.44,-61.6,1.2819,78895.5162,-3.1764
512,20.48,-61.6,1.2817,79020.7147,-3.3019
513,20.52,-61.6,1.2815,79146.378,-3.4242
514,20.56,-61.6,1.2813,79272.4937,-3.5435
515,20.6,-61.6,1.2811,79399.0507,-3.6599
516,20.64,-61.6,1.2809,79526.0392,-3.7735
517,20.68,-61.6,1.2807,79653.4505,-3.8844
518,20.72,-61.6,1.2805,79781.2769,-3.9927
519,20.76,-61.6,1.2803,79909.5117,-4.0984
520,20.8,-61.6,1.2801,80038.1491,-4.2018
521,20.84,-61.6,1.2799,80167.184,-4.3028
522,20.88,-61.6,1.2797,80296.6119,-4.4015
523,20.92,-61.6,1.2795,80426.4291,-4.4981
524,20.96,-61.6,1.2793,80556.6325,-4.5926
525,21.0,-61.6,1.2791,80687.2194,-4.6851
526,21.04,-61.6,1.2789,80818.1876,-4.7756
527,21.08,-61.6,1.2787,80949.5354,-4.8643
528,21.12,-61.6,1.2785,81081.2615,-4.9511
529,21.16,-61.6,1.2783,81213.3647,-5.0362
530,21.2,-61.6,1.2781,81345.8446,-5.1196
531,21.24,-61.6,1.278,81478.7006,-5.2014
532,21.28,-61.6,1.2778,81611.9327,-5.2816
533,21.32,-61.6,1.2776,81745.541,-5.3603
534,21.36,-61.6,1.2774,81879.5257,-5.4376
535,21.4,-61.6,1.2772,82013.8875,-5.5134
536,21.44,-61.6,1.277,82148.6268,-5.5879
537,21.48,-61.6,1.2768,82283.7447,-5.661
538,21.52,-61.6,1.2766,82419.2421,-5.7328
539,21.56,-61.6,1.2764,82555.1199,-5.8035
540,21.6,-61.6,1.2762,82691.3796,-5.8729
541,21.64,-61.6,1.276,82828.0222,-5.9412
542,21.68,-61.6,1.2758,82965.0492,-6.0083
543,21.72,-61.6,1.2757,83102.462,-6.0744
544,21.76,-61.6,1.2755,83240.2621,-6.1395
545,21.8,-61.6,1.2753,83378.4511,-6.2035
546,21.84,-61.6,1.2751,83517.0306,-6.2666
547,21.88,-61.6,1.2749,83656.0021,-6.3287
548,21.92,-61.6,1.2747,83795.3674,-6.3899
549,21.96,-61.6,1.2745,83935.1282,-6.4502
550,22.0,-61.6,1.2743,84075.2861,-6.5097
551,22.04,-61.6,1.2742,84215.8428,-6.5683
552,22.08,-61.6,1.274,84356.8002,-6.6261
553,22.12,-61.6,1.2738,84498.1598,-6.6832
554,22.16,-61.6,1.2736,84639.9236,-6.7395
555,22.2,-61.6,1.2734,84782.0931,-6.7951
556,22.24,-61.6,1.2732,84924.67,-6.8499
557,22.28,-61.6,1.273,85067.6562,-6.9041
558,22.32,-61.6,1.2729,85211.0533,-6.9577
559,22.36,-61.6,1.2727,85354.863,-7.0105
560,22.4,-61.54,1.2724,88369.3522,-6.2724
561,22.44,-61.48,1.2721,91500.5224,-5.5429
562,22.48,-61.42,1.2718,94752.6815,-4.8217
563,22.52,-61.36,1.2715,98130.3013,-4.1086
564,22.56,-61.3,1.2712,101638.0228,-3.4032
565,22.6,-61.24,1.2709,105280.6625,-2.7053
566,22.64,-61.18,1.2706,109063.2176,-2.0146
567,22.68,-61.12,1.2703,112990.8728,-1.3308
568,22.72,-61.06,1.2701,117069.0065,-0.6538
569,22.76,-61.0,1.2698,121303.1975,0.0168
570,22.8,-60.94,1.2695,125699.2316,0.6812
571,22.84,-60.88,1.2692,130263.1092,1.3395
572,22.88,-60.82,1.269,135001.0527,1.9921
573,22.92,-60.76,1.2687,139919.5135,2.639
574,22.96,-60.7,1.2684,145025.1807,3.2805
575,23.0,-60.64,1.2681,150324.989,3.9167
576,23.04,-60.58,1.2679,155826.127,4.548
577,23.08,-60.52,1.2676,161536.0465,5.1743
578,23.12,-60.46,1.2673,167462.4711,5.7959
579,23.16,-60.4,1.2671,173613.4058,6.4129
580,23.2,-60.4,1.2669,173638.0253,6.2352
581,23.24,-60.4,1.2666,173664.6162,6.0624
582,23.28,-60.4,1.2664,173693.0752,5.8944
583,23.32,-60.4,1.2662,173723.3094,5.731
584,23.36,-60.4,1.266,173755.2349,5.5721
585,23.4,-60.4,1.2658,173788.7759,5.4175
586,23.44,-60.4,1.2656,173823.8642,5.2669
587,23.48,-60.4,1.2654,173860.4384,5.1203
588,23.52,-60.4,1.2652,173898.443,4.9776
589,23.56,-60.4,1.265,173937.8283,4.8384
590,23.6,-60.4,1.2648,173978.5493,4.7028
591,23.64,-60.4,1.2646,174020.5658,4.5706
592,23.68,-60.4,1.2644,174063.8415,4.4417
593,23.72,-60.4,1.2642,174108.3438,4.3159
594,23.76,-60.4,1.264,174154.0437,4.1932
595,23.8,-60.4,1.2638,174200.915,4.0733
596,23.84,-60.4,1.2636,174248.9343,3.9563
597,23.88,-60.4,1.2634,174298.0807,3.842
598,23.92,-60.4,1.2632,174348.3356,3.7303
599,23.96,-60.4,1.263,174399.6824,3.6211
