step,mean_morphogen,mean_C,mean_psi
189,0.1557,0.9163,90.4848
190,0.156,0.916,91.7229
191,0.1563,0.9157,92.9728
192,0.1567,0.9154,94.2343
193,0.157,0.9151,95.5074
194,0.1574,0.9148,96.792
195,0.1577,0.9145,98.0881
196,0.158,0.9143,99.3955
197,0.1584,0.914,100.7143
198,0.1587,0.9137,102.0442
199,0.1591,0.9134,103.3854
200,0.1594,0.9131,104.7377
201,0.1597,0.9128,106.101
202,0.1601,0.9125,107.4753
203,0.1604,0.9123,108.8605
204,0.1607,0.912,110.2565
205,0.1611,0.9117,111.6634
206,0.1614,0.9114,113.0809
207,0.1617,0.9111,114.509
208,0.1621,0.9109,115.9478
209,0.1624,0.9106,117.397
210,0.1627,0.9103,118.8567
211,0.163,0.9101,120.3268
212,0.1634,0.9098,121.8072
213,0.1637,0.9095,123.2978
214,0.164,0.9092,124.7986
215,0.1643,0.909,126.3096
216,0.1647,0.9087,127.8306
217,0.165,0.9084,129.3616
218,0.1653,0.9082,130.9025
219,0.1656,0.9079,132.4533
220,0.1659,0.9077,134.0139
221,0.1663,0.9074,135.5843
222,0.1666,0.9071,137.1643
223,0.1669,0.9069,138.754
224,0.1672,0.9066,140.3532
225,0.1675,0.9064,141.9619
226,0.1678,0.9061,143.5801
227,0.1682,0.9059,145.2076
228,0.1685,0.9056,146.8445
229,0.1688,0.9054,148.4906
230,0.1691,0.9051,150.1459
231,0.1694,0.9049,151.8104
232,0.1697,0.9046,153.484
233,0.17,0.9044,155.1666
234,0.1703,0.9041,156.8582
235,0.1707,0.9039,158.5586
236,0.171,0.9036,160.268
237,0.1713,0.9034,161.9862
238,0.1716,0.9031,163.7131
239,0.1719,0.9029,165.4487
240,0.1722,0.9027,167.1929
241,0.1725,0.9024,168.9457
242,0.1728,0.9022,170.7071
243,0.1731,0.9019,172.477
244,0.1734,0.9017,174.2552
245,0.1737,0.9015,176.0419
246,0.174,0.9012,177.8368
247,0.1743,0.901,179.6401
248,0.1746,0.9008,181.4516
249,0.1749,0.9005,183.2712
250,0.1752,0.9003,185.0989
251,0.1755,0.9001,186.9348
252,0.1758,0.8999,188.7786
253,0.1761,0.8996,190.6304
254,0.1764,0.8994,192.4902
255,0.1767,0.8992,194.3578
256,0.177,0.899,196.2332
257,0.1773,0.8987,198.1164
258,0.1776,0.8985,200.0074
259,0.1779,0.8983,201.9061
260,0.1782,0.8981,203.8124
261,0.1784,0.8978,205.7262
262,0.1787,0.8976,207.6477
263,0.179,0.8974,209.5766
264,0.1793,0.8972,211.5131
265,0.1796,0.897,213.4569
266,0.1799,0.8968,215.4081
267,0.1802,0.8966,217.3667
268,0.1805,0.8963,219.3325
269,0.1808,0.8961,221.3057
270,0.181,0.8959,223.286
271,0.1813,0.8957,225.2735
272,0.1816,0.8955,227.2681
273,0.1819,0.8953,229.2698
274,0.1822,0.8951,231.2786
275,0.1825,0.8949,233.2944
276,0.1827,0.8947,235.3172
277,0.183,0.8945,237.3469
278,0.1833,0.8943,239.3836
279,0.1836,0.8941,241.4271
280,0.1839,0.8939,243.4774
281,0.1841,0.8937,245.5345
282,0.1844,0.8935,247.5984
283,0.1847,0.8933,249.6691
284,0.185,0.8931,251.7464
285,0.1853,0.8929,253.8304
286,0.1855,0.8927,255.921
287,0.1858,0.8925,258.0183
288,0.1861,0.8923,260.1221
289,0.1864,0.8921,262.2324
290,0.1866,0.8919,264.3493
291,0.1869,0.8917,266.4727
292,0.1872,0.8915,268.6025
293,0.1875,0.8914,270.7387
294,0.1877,0.8912,272.8814
295,0.188,0.891,275.0304
296,0.1883,0.8908,277.1858
297,0.1886,0.8906,279.3475
298,0.1888,0.8904,281.5155
299,0.1891,0.8902,283.6898
300,0.1894,0.8901,285.8704
301,0.1896,0.8899,288.0572
302,0.1899,0.8897,290.2502
303,0.1902,0.8895,292.4495
304,0.1904,0.8893,294.6549
305,0.1907,0.8892,296.8665
306,0.191,0.889,299.0843
307,0.1912,0.8888,301.3082
308,0.1915,0.8886,303.5382
309,0.1918,0.8885,305.7744
310,0.192,0.8883,308.0167
311,0.1923,0.8881,310.265
312,0.1926,0.8879,312.5195
313,0.1928,0.8878,314.7801
314,0.1931,0.8876,317.0467
315,0.1933,0.8874,319.3195
316,0.1936,0.8873,321.5983
317,0.1939,0.8871,323.8833
318,0.1941,0.8869,326.1743
319,0.1944,0.8868,328.4714
320,0.1946,0.8866,330.7747
321,0.1949,0.8864,333.0841
322,0.1952,0.8863,335.3996
323,0.1954,0.8861,337.7213
324,0.1957,0.886,340.0491
325,0.1959,0.8858,342.3832
326,0.1962,0.8856,344.7235
327,0.1964,0.8855,347.07
328,0.1967,0.8853,349.4229
329,0.197,0.8852,351.7821
330,0.1972,0.885,354.1477
331,0.1975,0.8849,356.5197
332,0.1977,0.8847,358.8982
333,0.198,0.8845,361.2833
334,0.1982,0.8844,363.675
335,0.1985,0.8842,366.0734
336,0.1987,0.8841,368.4786
337,0.199,0.8839,370.8906
338,0.1992,0.8838,373.3096
339,0.1995,0.8836,375.7357
340,0.1997,0.8835,378.169
341,0.2,0.8833,380.6096
342,0.2002,0.8832,383.0577
343,0.2005,0.8831,385.5134
344,0.2007,0.8829,387.9769
345,0.201,0.8828,390.4484
346,0.2012,0.8826,392.928
347,0.2015,0.8825,395.4161
348,0.2017,0.8823,397.9128
349,0.202,0.8822,400.4185
350,0.2022,0.8821,402.9334
351,0.2025,0.8819,405.4578
352,0.2027,0.8818,407.992
353,0.2029,0.8816,410.5366
354,0.2032,0.8815,413.0918
355,0.2034,0.8814,415.6582
356,0.2037,0.8812,418.2363
357,0.2039,0.8811,420.8266
358,0.2042,0.881,423.4297
359,0.2044,0.8808,426.0464
360,0.2046,0.8807,428.6774
361,0.2049,0.8806,431.3235
362,0.2051,0.8805,433.9857
363,0.2054,0.8803,436.6633
364,0.2056,0.8802,439.3563
365,0.2059,0.8801,442.0654
366,0.2061,0.8799,444.7914
367,0.2063,0.8798,447.5353
368,0.2066,0.8797,450.2978
369,0.2068,0.8796,453.0799
370,0.207,0.8794,455.8828
371,0.2073,0.8793,458.7075
372,0.2075,0.8792,461.5553
373,0.2078,0.8791,464.4275
374,0.208,0.8789,467.3256
375,0.2082,0.8788,470.2374
376,0.2085,0.8787,473.1613
377,0.2087,0.8786,476.0971
378,0.2089,0.8785,479.0448
379,0.2092,0.8784,482.0044
380,0.2094,0.8782,484.9758
381,0.2096,0.8781,487.959
382,0.2099,0.878,490.954
383,0.2101,0.8779,493.9608
384,0.2103,0.8778,496.9792
385,0.2106,0.8777,500.0094
386,0.2108,0.8776,503.0511
387,0.211,0.8774,506.1045
388,0.2113,0.8773,509.1694
389,0.2115,0.8772,512.2459
390,0.2117,0.8771,515.3338
391,0.2119,0.877,518.4332
392,0.2122,0.8769,521.5441
393,0.2124,0.8768,524.6663
394,0.2126,0.8767,527.7999
395,0.2129,0.8766,530.9448
396,0.2131,0.8765,534.101
397,0.2133,0.8764,537.2685
398,0.2135,0.8763,540.4472
399,0.2138,0.8762,543.6371
400,0.214,0.8761,546.8381
401,0.2142,0.876,550.0502
402,0.2145,0.8759,553.2735
403,0.2147,0.8758,556.5077
404,0.2149,0.8757,559.753
405,0.2151,0.8756,563.0093
406,0.2154,0.8755,566.2765
407,0.2156,0.8754,569.5547
408,0.2158,0.8753,572.8437
409,0.216,0.8752,576.1435
