t,cyclic_phi,cyclic_Ms,cyclic_psi_s,chronic_phi,chronic_Ms,chronic_psi_s
0.0,1.018099351362,1.0006000000000004,1.0185065096708832,1.0060991119379996,1.0003500000000003,1.0062499966278526
0.12,1.1267453395484885,1.0041999999999993,1.129894867731645,1.0427061639176833,1.0024500000000003,1.0437985988976801
0.24,1.23557911637692,1.0077999999999994,1.2419835982971796,1.0793460477812535,1.0045500000000012,1.081441946662885
0.36,1.3447431227456845,1.0113999999999985,1.3549152383074752,1.1160348799474256,1.0066500000000012,1.119195903482911
0.48,1.4543814631244305,1.0149999999999986,1.4688353552146334,1.1527888551088992,1.008750000000002,1.1570764690147564
0.6,2.0660682382656295,1.0185999999999975,1.7445904494606308,1.189624274911628,1.010850000000002,1.1950998075948913
0.72,2.7888330223545923,1.0221999999999978,1.968927520043658,1.2265575770287518,1.012950000000003,1.2332822773675662
0.84,3.5293375078547764,1.025799999999997,2.142593473084454,1.263605364740051,1.015050000000003,1.2716404600713564
0.96,4.164660249736719,1.022999999999998,2.20534433518091,1.3007844371309967,1.0171500000000038,1.3101911915998097
1.08,4.760100936310081,1.016999999999998,2.22646032019394,1.338111820029519,1.0192500000000038,1.3489515934568446
1.2,5.384758671024513,1.010999999999999,2.2523342839473566,1.3756047978033854,1.0213500000000046,1.3879391052331866
1.32,6.044787006968226,1.0049999999999992,2.283782109491245,1.4132809461467841,1.0234500000000046,1.4271715182366187
1.44,6.747495585470474,1.0,2.324014241145999,1.4511581659912312,1.0255500000000055,1.4666670104162816
1.56,7.501703957756406,1.0,2.383774591805049,1.6891566201161143,1.0276500000000055,1.583913964172142
1.68,8.31822251552397,1.0,2.4531134416719778,2.33279184285286,1.0297500000000064,1.7962093975013576
1.8,9.243032775399328,1.0006000000000004,2.5442608190839873,2.9889249392504236,1.0318500000000064,1.9530968078608668
1.92,10.435875893477217,1.0041999999999993,2.7012621983377754,3.6628979226071987,1.0339500000000073,2.0796409143259535
2.04,11.771349537884632,1.0077999999999994,2.8763813475011513,4.360637350726554,1.0360500000000072,2.1894949779408255
2.16,13.289706402925871,1.0113999999999985,3.0762077646926467,5.088862000061556,1.0381500000000081,2.2909679656657933
2.2800000000000002,15.046429454362592,1.0149999999999986,3.3093979618136182,5.855356382460461,1.0402500000000081,2.3896702092059683
2.4,17.1203914341429,1.0185999999999975,3.587915481445919,6.66933169621735,1.042350000000009,2.4898187139709296
2.52,19.62782377694392,1.0221999999999978,3.9291081981019955,7.5419106228242425,1.044450000000009,2.5949622841283353
2.64,22.74755451279135,1.025799999999997,4.359425468287369,8.486792629083624,1.0465500000000099,2.7084445590066055
2.7600000000000002,24.958398781792315,1.022999999999998,4.560025956535584,9.521188134215251,1.0486500000000099,2.8337578325704835
2.88,24.958769045419082,1.016999999999998,4.341932377196194,10.667162304414308,1.0507500000000107,2.974876788685598
3.0,24.959139753584406,1.010999999999999,4.141308091970215,11.953619157263573,1.0528500000000107,3.136642213638172
3.12,24.959510906822015,1.0049999999999992,3.9561382984515614,13.419316711636235,1.0549500000000116,3.3252731086488234
3.24,24.959882505666265,1.0,3.788495049811198,15.117600591182427,1.0570500000000116,3.54912246881613
3.36,24.960254550652145,1.0,3.65109921756067,17.124119578988818,1.0591500000000125,3.819875026762005
3.48,24.9606270423153,1.0,3.523176015288342,19.549967723485594,1.0612500000000125,4.154562012254196
3.6,24.960999981192,1.0006000000000004,3.4058208147748052,22.565280157571404,1.0633500000000133,4.579158269357421
3.72,24.96137336781917,1.0041999999999993,3.3059087980633985,24.958229617209533,1.0654500000000133,4.846837665883735
3.84,24.96174720273439,1.0077999999999994,3.212226274773568,24.958599677737258,1.0675500000000142,4.647479928491615
3.96,24.962121486475866,1.0113999999999985,3.1242071353023984,24.95897018255972,1.0696500000000142,4.4643510276037475
4.08,24.962496219582473,1.0149999999999986,3.0413518483669226,24.959341132210337,1.071750000000015,4.295545756885702
4.2,24.96287140259369,1.0185999999999975,2.9632179529799054,24.95971252722316,1.073850000000015,4.139445899473472
4.32,24.963247036049697,1.0221999999999978,2.889412134583748,24.960084368132893,1.075950000000016,3.9946681510355098
4.44,24.9636231204913,1.025799999999997,2.819583585731253,24.960456655474882,1.078050000000016,3.860022985524082
4.5600000000000005,24.96399965645993,1.022999999999998,2.7362998234876246,24.96082938978511,1.0801500000000168,3.734481871822617
4.68,24.964376644497715,1.016999999999998,2.648960027058258,24.961202571600214,1.0822500000000168,3.6171509281006298
4.8,24.964754085147398,1.010999999999999,2.5660045484063305,24.961576201457465,1.0843500000000177,3.5072495857396695
4.92,24.940166846973426,1.0049999999999992,2.4846255512899105,24.961950279894783,1.0864500000000177,3.4040931856478744
5.04,24.94054481613027,1.0,2.411994186756512,24.96232480745073,1.0885500000000186,3.3070786866015203
5.16,24.94092323907694,1.0,2.3545272213264026,24.96269978466453,1.0906500000000185,3.2156728551813307
5.28,24.941302116358266,1.0,2.2996722654728567,24.963075212076028,1.0927500000000194,3.1294024487233605
5.4,24.941681448519713,1.0006000000000004,2.2486035834183578,24.963451090225732,1.0948500000000194,3.047846009630988
5.5200000000000005,24.94206123610741,1.0041999999999993,2.2063450532436697,24.9638274196548,1.0969500000000203,2.970626970696117
5.64,24.942441479668158,1.0077999999999994,2.1658757067487513,24.96420420090505,1.0990500000000203,2.8974078334004214
5.76,24.94282217974938,1.0113999999999985,2.127083752681112,24.964581434518923,1.1011500000000212,2.8278852293096746
5.88,24.943203336899163,1.0149999999999986,2.0898665234356644,24.964959121039534,1.1032500000000212,2.7617857121324176
6.0,24.943584951666306,1.0185999999999975,2.0541295629024967,24.940371923749634,1.105350000000022,2.69616329520229
6.12,24.943967024600187,1.0221999999999978,2.019785821602139,24.940750139121693,1.107450000000022,2.636251778871684
6.24,24.9443495562509,1.025799999999997,1.98675494466906,24.941128808579172,1.109550000000023,2.579086247696669
6.36,24.94473254716917,1.022999999999998,1.9428082194995324,24.941507932667275,1.111650000000023,2.5244818085150498
6.48,24.945115997906388,1.016999999999998,1.8945342701925012,24.941887511931817,1.1137500000000238,2.4722698031075327
6.6000000000000005,24.94549990901464,1.010999999999999,1.8480287982119892,24.942267546919282,1.1158500000000238,2.422296064543802
6.72,24.945884281046627,1.0049999999999992,1.8031970753906739,24.942648038176817,1.1179500000000246,2.3744193935277913
6.84,24.946269114555726,1.0,1.7617127325262854,24.943028986252216,1.1200500000000246,2.3285102230252273
6.96,24.946654410096013,1.0,1.7303208689657137,24.943410391693934,1.1221500000000255,2.2844494445769175
7.08,24.947040168222173,1.0,1.6999933484533403,24.94379225505109,1.1242500000000255,2.24212737390997
