t,mean_phi,mean_C,mean_Ms,mean_psi_s,center_C,center_Ms,center_psi_s
0.0,1.002955664512503,1.0002013407489012,1.0000888888888888,1.0028448651542199,1.0002058040838633,1.0008,1.0257873837852536
0.14,1.0257209169762995,1.0016494292929667,1.000711111111111,1.0248827681211083,1.0018102485424205,1.0063999999999993,1.2092809191154363
0.28,1.0498639310807967,1.0031658716135974,1.0013333333333332,1.04837068146442,1.0037040593588116,1.0119999999999987,1.3982712361361513
0.42,1.1192649388440092,1.0234054251068865,1.0019555555555553,1.0859291867406593,1.1735210256149071,1.017599999999998,1.7140275711684845
0.56,1.2246668123414077,1.0591345921348296,1.0025777777777776,1.1196575653771104,1.4812309345541939,1.0231999999999974,1.9963472295528164
0.7000000000000001,1.3343025478851713,1.0962794466133003,1.0031999999999996,1.1439964722944107,1.8000354697721328,1.0287999999999968,2.195276019610983
0.84,1.449791554221961,1.134908829444936,1.0038222222222217,1.1635161422658795,2.130472027474851,1.0343999999999962,2.35194363377921
0.98,1.5730876302615933,1.175115384660727,1.004444444444444,1.1806363956663835,2.47326376966008,1.0399999999999956,2.4881197904477723
1.12,1.7066271690617774,1.2170210560267285,1.005066666666666,1.1968389824053014,2.8293625208667805,1.045599999999995,2.617127367856625
1.26,1.853547455483258,1.260785037909913,1.0056888888888882,1.2131809105847327,3.2000108184093277,1.0511999999999944,2.7484651362153913
1.4000000000000001,2.018018781767369,1.3066154098352993,1.0063111111111105,1.2305549727758403,3.5868327109242824,1.0567999999999937,2.890156210267541
1.54,2.205769117108497,1.354786502149876,1.0069333333333326,1.2498570065002044,3.9919692836776317,1.0623999999999931,3.0502583939425576
1.68,2.4249485966097546,1.4056655454039229,1.0075555555555546,1.2721337885925885,4.418286635879577,1.0679999999999925,3.238202116130039
1.82,2.6876243669888313,1.4597550635727805,1.008177777777777,1.2987651776967175,4.869706725986953,1.073599999999992,3.46643958266873
1.96,3.0125175665040844,1.5177634405592881,1.008799999999999,1.3317500157960458,5.351758086518039,1.0791999999999913,3.753032824174513
2.1,3.4303774392688187,1.5807292916550888,1.009422222222221,1.3742302125255226,5.872546442221401,1.0847999999999907,4.126394626100191
2.24,3.7336026123789057,1.6493372954295598,1.0100444444444434,1.387778921812578,6.437471525841936,1.09039999999999,4.24034826325259
2.38,3.7384453488446194,1.7189829886266597,1.0106666666666655,1.3527307541597504,7.010618083809955,1.0959999999999894,3.9146913956602556
2.52,3.74337062883149,1.7887240234842874,1.0112888888888876,1.3233771696239236,7.584557062914006,1.1015999999999888,3.6378094362199134
2.66,3.748379524293829,1.8585604817069867,1.0119111111111099,1.2985527474561898,8.159289258569826,1.1071999999999882,3.3994923800476062
2.8000000000000003,3.7534732257828316,1.9284924458112482,1.012533333333332,1.2773944241663044,8.734815476648613,1.1127999999999876,3.1921965401141104
