scenario,t,flux_proxy_phi,constraint_proxy_C,responsiveness_S,memory_Ms,psi_s_proxy,constraint_signal,flux_decline_signal
healthy,0.0,1.0,1.0006488781393896,0.999870224372122,1.0000003244390696,0.9992221753431137,0,0
healthy,0.2,1.0,1.0031479159783445,0.9993704168043311,1.0000047579616993,0.9962390948057073,0,0
healthy,0.4,1.0,1.0054947701950279,0.9989010459609944,1.0000139605497849,0.9934561777730828,0,0
healthy,0.6000000000000001,1.0,1.0077226328403421,0.9984554734319315,1.0000276412679452,0.990831246086936,0,0
healthy,0.8,1.0,1.009809254002488,0.9980381491995024,1.0000455092812217,0.9883882181137599,0,0
healthy,1.0,1.0,1.0117791316839828,0.9976441736632035,1.0000672869361056,0.9860959480577587,0,0
healthy,1.2000000000000002,1.0,1.0136273357356296,0.997274532852874,1.0000927105651596,0.98395826116371,0,0
healthy,1.4000000000000001,1.0,1.0153708677896103,0.996925826442078,1.000121545067399,0.9819535201254539,0,0
healthy,1.6,1.0,1.017018626900367,0.9965962746199266,1.0001535612744317,0.980069869764144,0,0
healthy,1.8,1.0,1.0185716057846435,0.9962856788430713,1.0001885515959796,0.9783048383036835,0,0
healthy,2.0,1.0,1.0200341042587269,0.9959931791482546,1.0002263245786054,0.9766522440039249,0,0
healthy,2.2,1.0,1.02140739844451,0.995718520311098,1.0002666726035776,0.9751094937026232,0,0
healthy,2.4000000000000004,1.0,1.0226956110588235,0.9954608777882353,1.000309416037418,0.9736708347828927,0,0
healthy,2.6,1.0,1.0239112550432352,0.995217748991353,1.00035438085292,0.9723210192313427,0,0
healthy,2.8000000000000003,1.0,1.0250481688701498,0.99499036622597,1.000401407394169,0.971066329315294,0,0
healthy,3.0,1.0,1.0261191710446844,0.9947761657910631,1.0004503361635817,0.9698913903537709,0,0
healthy,3.2,1.0,1.0271124549933617,0.9945775090013277,1.0005010170104265,0.968809018344497,0,0
healthy,3.4000000000000004,1.0,1.0280454657086615,0.9943909068582677,1.0005532932963344,0.9677987305698844,0,0
healthy,3.6,1.0,1.02890635285647,0.994218729428706,1.0006070329023926,0.9668734672964154,0,0
healthy,3.8000000000000003,1.0,1.0297054463296067,0.9940589107340787,1.00066208711255,0.9660209799546736,0,0
healthy,4.0,1.0,1.0304617096492361,0.9939076580701528,1.0007183540996554,0.9652194025235256,0,0
healthy,4.2,1.0,1.031159574924085,0.993768085015183,1.0007757166410627,0.9644859938669583,0,0
healthy,4.4,1.0,1.0317995811776763,0.9936400837644648,1.000834056696648,0.9638197708854648,0,0
healthy,4.6000000000000005,1.0,1.032385011233312,0.9935229977533376,1.0008932599615574,0.9632166887818049,0,0
healthy,4.800000000000001,1.0,1.0329310560271665,0.9934137887945667,1.0009532217593327,0.9626593436531494,0,0
healthy,5.0,1.0,1.0334262122848459,0.9933147575430308,1.0010138580330732,0.9621604579691738,0,0
healthy,5.2,1.0,1.033881825933285,0.993223634813343,1.0010750666575323,0.9617070263606358,0,0
healthy,5.4,1.0,1.0343017439434365,0.9931396512113126,1.0011367714383055,0.961294544675381,0,0
healthy,5.6000000000000005,1.0,1.0346836856431236,0.9930632628713753,1.0011989004058353,0.9609254119071743,0,0
healthy,5.800000000000001,1.0,1.0350223132917655,0.9929955373416469,1.0012613578804435,0.9606054355734904,0,0
healthy,6.0,1.0,1.035334484395283,0.9929331031209434,1.0013240891094948,0.9603155791820861,0,0
healthy,6.2,1.0,1.035603371017247,0.9928793257965506,1.001387010518384,0.9600745687881291,0,0
healthy,6.4,1.0,1.0358568788771236,0.9928286242245753,1.0014500787385536,0.9598510413729983,0,0
healthy,6.6000000000000005,1.0,1.0360814381592467,0.9927837123681507,1.0015132306711483,0.9596601063503465,0,0
healthy,6.800000000000001,1.0,1.0362795536791218,0.9927440892641757,1.0015764259277025,0.9594988854657527,0,0
healthy,7.0,1.0,1.0364606077595477,0.9927078784480905,1.0016396115335775,0.9593568016872926,0,0
healthy,7.2,1.0,1.036621001737425,0.992675799652515,1.0017027558319962,0.959237833782116,0,0
healthy,7.4,1.0,1.036785871980964,0.9926428256038072,1.0017658441767439,0.9591138392511236,0,0
healthy,7.6000000000000005,1.0,1.0369201364077274,0.9926159727184545,1.001828849784895,0.9590240205689512,0,0
